time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.508296,0.834989,3.141593,3.141593
0.05,0.004157,0.164915,-0.004139,-0.162826,2.375698,0.924224,3.145986,3.137435
0.1,0.014691,0.253391,-0.012244,-0.155726,2.314271,0.867149,3.141039,3.126902
0.15,0.02942,0.332162,-0.019922,-0.145249,2.266903,0.809161,3.13328,3.112172
0.2,0.047852,0.400946,-0.027099,-0.135319,2.235252,0.755197,3.122664,3.09374
0.25,0.06945,0.458345,-0.033806,-0.126151,2.219867,0.706015,3.10889,3.072143
0.3,0.093615,0.503332,-0.040083,-0.117966,2.219324,0.661986,3.091768,3.047977
0.35,0.119705,0.535079,-0.045976,-0.110664,2.233922,0.623736,3.071233,3.021888
0.4,0.147045,0.553244,-0.051527,-0.104311,2.262854,0.591673,3.047446,2.994547
0.45,0.174955,0.557853,-0.05678,-0.098919,2.304906,0.565976,3.020786,2.966637
0.5,0.202764,0.549291,-0.061782,-0.094473,2.358514,0.546608,2.991852,2.938829
0.55,0.229827,0.528274,-0.066576,-0.090941,2.421842,0.53333,2.961445,2.911765
0.6,0.255547,0.495811,-0.071205,-0.088268,2.492857,0.525713,2.930521,2.886046
0.65,0.279379,0.453155,-0.075709,-0.086385,2.569416,0.523169,2.90014,2.862214
0.7,0.30085,0.401763,-0.080126,-0.085208,2.649347,0.524989,2.871396,2.840743
0.75,0.319561,0.343236,-0.084486,-0.084646,2.730526,0.530387,2.845343,2.822032
0.8,0.335198,0.279277,-0.088819,-0.084599,2.81094,0.538539,2.822923,2.806395
0.85,0.347532,0.211645,-0.093148,-0.084963,2.88873,0.548623,2.8049,2.794061
0.9,0.356425,0.142109,-0.097491,-0.085634,2.962229,0.559849,2.791808,2.785168
0.95,0.361824,0.072413,-0.101862,-0.086509,3.0,0.559744,2.783921,2.779769
1.0,0.363732,0.002952,-0.106263,-0.087259,3.0,0.547116,2.781263,2.777861
1.05,0.362171,-0.065858,-0.110688,-0.08784,3.0,0.536672,2.783791,2.779422
1.1,0.357224,-0.131989,-0.115134,-0.08852,3.0,0.528658,2.791276,2.784368
1.15,0.349073,-0.193616,-0.119605,-0.089209,3.0,0.522949,2.803198,2.79252
1.2,0.337985,-0.24903,-0.124099,-0.08981,3.0,0.519317,2.818812,2.803608
1.25,0.324312,-0.296645,-0.128613,-0.090313,3.0,0.517809,2.837211,2.817281
1.3,0.308477,-0.335157,-0.133138,-0.090505,3.0,0.518166,2.857409,2.833115
1.35,0.290965,-0.363473,-0.137654,-0.090259,3.0,0.520029,2.878417,2.850627
1.4,0.272309,-0.380721,-0.142142,-0.089599,3.0,0.523129,2.899305,2.869284
1.45,0.253078,-0.386343,-0.146583,-0.08855,3.0,0.52726,2.919265,2.888515
1.5,0.233859,-0.38017,-0.150956,-0.087007,3.0,0.531935,2.937653,2.907734
1.55,0.215241,-0.362349,-0.155238,-0.084949,3.0,0.536677,2.954005,2.926352
1.6,0.197795,-0.333371,-0.159405,-0.082371,3.0,0.540957,2.968042,2.943797
1.65,0.182063,-0.294061,-0.163433,-0.079283,3.0,0.54422,2.979645,2.95953
1.7,0.168533,-0.245556,-0.1673,-0.075713,3.0,0.545913,2.98883,2.97306
1.75,0.157632,-0.189271,-0.170984,-0.071702,2.935691,0.520362,2.9957,2.98396
1.8,0.14964,-0.129633,-0.174455,-0.066814,2.871287,0.491787,3.00058,2.991952
1.85,0.144687,-0.068161,-0.177686,-0.061736,2.809945,0.461876,3.003576,2.996905
1.9,0.142823,-0.006538,-0.180671,-0.05659,2.75329,0.431251,3.004747,2.998769
1.95,0.144015,0.053601,-0.183409,-0.051471,2.702757,0.400554,3.004103,2.997578
2.0,0.148149,0.110718,-0.185903,-0.046473,2.65956,0.370455,3.001613,2.993443
2.05,0.155039,0.163412,-0.188161,-0.041681,2.624676,0.341634,2.997223,2.986554
2.1,0.164431,0.210455,-0.190194,-0.037178,2.598819,0.314747,2.990876,2.977161
2.15,0.176016,0.250812,-0.192015,-0.033033,2.582421,0.290393,2.982534,2.965576
