time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.160516,0.804742,3.141593,3.141593
0.05,0.002738,0.108819,-0.001457,-0.057104,2.159939,0.850266,3.14126,3.138855
0.1,0.010295,0.191783,-0.004355,-0.056173,2.206756,0.851667,3.137671,3.131297
0.15,0.021931,0.27128,-0.007207,-0.05462,2.275871,0.857135,3.131919,3.119662
0.2,0.037444,0.346268,-0.010007,-0.053491,2.338579,0.856999,3.123876,3.104149
0.25,0.056541,0.414066,-0.012761,-0.052241,2.39564,0.851367,3.113179,3.085051
0.3,0.078806,0.472472,-0.015463,-0.050907,2.433122,0.83555,3.099471,3.062787
0.35,0.103702,0.518881,-0.018098,-0.049192,2.457184,0.812281,3.082331,3.037891
0.4,0.130579,0.551473,-0.020648,-0.047247,2.468575,0.782774,3.061533,3.011013
0.45,0.15871,0.56884,-0.023099,-0.045128,2.467087,0.74784,3.037061,2.982883
0.5,0.187305,0.570016,-0.025439,-0.042869,2.451766,0.708005,3.009189,2.954288
0.55,0.215537,0.554474,-0.027659,-0.040491,2.420736,0.663412,2.978531,2.926055
0.6,0.242566,0.522099,-0.02975,-0.037994,2.371223,0.613794,2.946061,2.899027
0.65,0.267551,0.473135,-0.0317,-0.035356,2.299501,0.558433,2.913113,2.874042
0.7,0.289675,0.408135,-0.0335,-0.032537,2.201005,0.496185,2.881352,2.851918
0.75,0.308152,0.327893,-0.035136,-0.02948,2.070732,0.425639,2.852719,2.833441
0.8,0.322243,0.233403,-0.036593,-0.02612,1.904176,0.345496,2.829352,2.81935
0.85,0.331262,0.125848,-0.037852,-0.022405,1.699044,0.255252,2.813491,2.81033
0.9,0.334591,0.006669,-0.038894,-0.018322,1.457603,0.156162,2.807338,2.807001
0.95,0.331694,-0.122269,-0.039699,-0.013923,1.188775,0.052082,2.812873,2.809899
1.0,0.322142,-0.258442,-0.040254,-0.00935,-0.479115,-0.550432,2.831572,2.81945
1.05,0.303736,-0.474927,-0.039204,0.048317,-0.775759,-0.696319,2.877996,2.837857
1.1,0.275015,-0.669174,-0.036536,0.05316,-1.072152,-0.779944,2.944354,2.866578
1.15,0.236729,-0.855974,-0.033632,0.056126,-1.347403,-0.843957,3.02906,2.904864
1.2,0.189395,-1.029539,-0.030553,0.058573,-1.568868,-0.877609,3.127264,2.952197
1.25,0.133871,-1.18218,-0.027347,0.059671,-1.742034,-0.882947,3.232375,3.007722
1.3,0.07137,-1.307309,-0.024085,0.059433,-1.862128,-0.859607,3.33758,3.070223
1.35,0.003427,-1.398894,-0.020845,0.057697,-1.944633,-0.815461,3.436386,3.138166
1.4,-0.068168,-1.452755,-0.017706,0.054687,-1.99067,-0.753576,3.523687,3.209761
1.45,-0.141448,-1.466032,-0.014738,0.050607,-1.991554,-0.673272,3.595885,3.283041
1.5,-0.214328,-1.436963,-0.011999,0.045772,-1.926635,-0.569625,3.650932,3.35592
1.55,-0.284647,-1.364237,-0.009541,0.040118,-1.763835,-0.432765,3.688084,3.426239
1.6,-0.350181,-1.246589,-0.007419,0.033449,-1.465833,-0.250325,3.707781,3.491774
1.65,-0.408638,-1.08253,-0.0057,0.025562,-1.014149,-0.016867,3.711697,3.55023
1.7,-0.457664,-0.871071,-0.004452,0.016498,-0.452599,0.248836,3.703202,3.599257
1.75,-0.494934,-0.614189,-0.003725,0.00683,0.101187,0.499007,3.688036,3.636526
1.8,-0.518363,-0.319643,-0.003526,-0.002277,0.533123,0.687333,3.67389,3.659956
1.85,-0.526393,-0.000461,-0.003795,-0.009494,0.81289,0.800697,3.668,3.667986
1.9,-0.518151,0.328881,-0.00442,-0.014023,2.569813,1.434014,3.67452,3.659743
