time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,3.0,0.630789,3.141593,3.141593
0.05,0.008598,0.340152,-0.01402,-0.55231,3.0,1.046134,3.199469,3.132994
0.1,0.029192,0.475455,-0.043357,-0.60342,3.0,1.045242,3.206102,3.112401
0.15,0.055265,0.558523,-0.072494,-0.543585,3.0,0.939779,3.184039,3.086327
0.2,0.085172,0.628673,-0.098489,-0.478601,3.0,0.829518,3.158433,3.056421
0.25,0.118298,0.6873,-0.121334,-0.418677,3.0,0.725203,3.130927,3.023295
0.3,0.154007,0.732107,-0.141283,-0.363868,3.0,0.625273,3.100646,2.987585
0.35,0.191581,0.762089,-0.158644,-0.316299,3.0,0.532836,3.067337,2.950011
0.4,0.230238,0.775748,-0.173764,-0.275536,3.0,0.447965,3.030492,2.911355
0.45,0.269139,0.772325,-0.186983,-0.241545,3.0,0.37091,2.990114,2.872453
0.5,0.307426,0.751683,-0.19864,-0.214335,3.0,0.312482,2.946681,2.834167
0.55,0.344143,0.710271,-0.20882,-0.183899,3.0,0.269347,2.899592,2.797449
0.6,0.378218,0.646852,-0.217217,-0.144629,3.0,0.227647,2.850045,2.763374
0.65,0.408674,0.566461,-0.223605,-0.105269,3.0,0.201955,2.801929,2.732919
0.7,0.434661,0.46914,-0.227858,-0.060874,3.0,0.180591,2.75739,2.706932
0.75,0.455452,0.359709,-0.229874,-0.017474,3.0,0.167005,2.719907,2.686141
0.8,0.47053,0.241713,-0.229761,0.022878,3.0,0.160739,2.691898,2.671062
0.85,0.479558,0.11868,-0.22771,0.058731,3.0,0.159692,2.675035,2.662035
0.9,0.482385,-0.00537,-0.224011,0.087731,3.0,0.163791,2.670074,2.659208
0.95,0.479053,-0.126767,-0.219042,0.108548,2.074007,0.1196,2.676743,2.66254
1.0,0.465891,-0.396353,-0.205818,0.414189,-3.0,-2.134738,2.744155,2.675701
1.05,0.436981,-0.753701,-0.18399,0.448261,-3.0,-2.073878,2.849172,2.704612
1.1,0.390702,-1.088588,-0.160714,0.469794,-3.0,-2.05694,2.999827,2.750891
1.15,0.328983,-1.368852,-0.13806,0.420866,-3.0,-1.941624,3.159227,2.81261
1.2,0.253949,-1.618933,-0.117496,0.383949,-3.0,-1.810431,3.334765,2.887644
1.25,0.167299,-1.831058,-0.098394,0.359489,-3.0,-1.664052,3.512565,2.974294
1.3,0.071136,-1.997235,-0.080197,0.344714,-3.0,-1.54798,3.679934,3.070457
1.35,-0.031635,-2.093889,-0.063596,0.293778,-3.0,-1.426206,3.813672,3.173227
1.4,-0.137438,-2.118401,-0.050424,0.208079,-3.0,-1.260735,3.909668,3.279031
1.45,-0.243143,-2.090823,-0.041143,0.140157,-3.0,-1.104783,3.98112,3.384736
1.5,-0.346209,-2.014165,-0.034765,0.094283,-3.0,-0.988333,4.028861,3.487802
1.55,-0.444014,-1.882178,-0.030804,0.046185,-3.0,-0.871607,4.049969,3.585607
1.6,-0.534091,-1.707193,-0.02893,0.013669,-3.0,-0.775434,4.052923,3.675684
1.65,-0.614415,-1.494217,-0.028447,-0.006797,-3.0,-0.697007,4.042416,3.756007
1.7,-0.683241,-1.249489,-0.0288,-0.01732,-3.0,-0.633469,4.023892,3.824833
1.75,-0.739161,-0.980074,-0.0295,-0.018452,-3.0,-0.607976,4.002749,3.880753
1.8,-0.780876,-0.683399,-0.030688,-0.034523,-3.0,-0.596235,3.981825,3.922469
1.85,-0.807206,-0.366832,-0.033088,-0.064315,-3.0,-0.584626,3.966461,3.948799
1.9,-0.817481,-0.043316,-0.036989,-0.091886,-3.0,-0.861379,3.960549,3.959074
1.95,-0.808824,0.387221,-0.049002,-0.383407,3.0,1.892163,3.988124,3.950416
2.0,-0.776725,0.890503,-0.065633,-0.27069,3.0,1.679422,4.027877,3.918318
2.05,-0.718482,1.428699,-0.079974,-0.285761,3.0,1.678515,4.12667,3.860074
2.1,-0.635165,1.888622,-0.092124,-0.176641,3.0,1.487748,4.227349,3.776758
2.15,-0.529504,2.318256,-0.099695,-0.09792,3.0,1.313314,4.344052,3.671096
2.2,-0.403805,2.686482,-0.103136,-0.008584,3.0,1.101192,4.449466,3.545398
2.25,-0.261261,2.989753,-0.102543,0.063379,3.0,0.896376,4.531287,3.402853
2.3,-0.105483,3.214806,-0.09872,0.118257,3.0,0.757171,4.571893,3.247075
2.35,0.0589,3.334801,-0.091392,0.198219,3.0,0.654216,4.546596,3.082692
2.4,0.226518,3.347098,-0.07939,0.297009,3.0,0.548948,4.449184,2.915075
2.45,0.392531,3.274488,-0.063144,0.360024,3.0,0.482447,4.291062,2.749062
2.5,0.552895,3.1246,-0.044575,0.384971,3.0,0.447433,4.07611,2.588698
2.55,0.703929,2.904101,-0.025396,0.382709,3.0,0.418699,3.810921,2.437663
2.6,0.84243,2.625361,-0.00695,0.356258,3.0,0.388734,3.507939,2.299163
2.65,0.965791,2.300215,0.009682,0.311856,3.0,0.367991,3.18158,2.175801
2.7,1.071841,1.934429,0.024094,0.268996,3.0,0.352039,2.845844,2.069751
2.75,1.15873,1.535327,0.036667,0.238838,3.0,0.342408,2.519397,1.982862
2.8,1.224964,1.109752,0.048227,0.228045,3.0,0.337823,2.226959,1.916629
2.85,1.269399,0.664903,0.059761,0.236616,3.0,0.34133,2.00169,1.872194
2.9,1.291217,0.20656,0.072222,0.263182,3.0,0.348716,1.881765,1.850376
2.95,1.289936,-0.257352,0.086276,0.297625,3.0,0.328824,1.894963,1.851656
3.0,1.265818,-0.70493,0.10118,0.293425,-3.0,-1.753603,2.027756,1.875775
3.05,1.210742,-1.490823,0.122523,0.544881,-3.0,-2.219806,2.502527,1.93085
3.1,1.122363,-2.030862,0.142044,0.209359,-3.0,-1.64874,2.875012,2.019229
3.15,1.003764,-2.692779,0.154139,0.235621,-3.0,-1.694533,3.449732,2.137829
3.2,0.856005,-3.19007,0.159904,-0.053049,-3.0,-1.132225,3.927957,2.285588
3.25,0.682341,-3.724371,0.157384,-0.098688,-3.0,-1.010421,4.466919,2.459252
3.3,0.485909,-4.09807,0.14769,-0.335517,-3.0,-0.550301,4.897063,2.655684
3.35,0.271552,-4.442881,0.130829,-0.372948,-3.0,-0.473373,5.30401,2.87004
3.4,0.044202,-4.620917,0.109306,-0.506859,-3.0,-0.308961,5.587088,3.09739
3.45,-0.189378,-4.697958,0.083101,-0.543423,-3.0,-0.398475,5.785187,3.330971
