time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.140124,0.085211,3.141593,3.141593
0.05,0.009729,0.38433,-0.018993,-0.74849,3.0,-3.0,3.242974,3.131864
0.1,0.071809,2.045439,-0.156375,-4.619258,3.0,-3.0,5.913492,3.069784
0.15,0.203124,3.054654,-0.454263,-6.931547,3.0,-3.0,8.137457,2.938469
0.2,0.36181,3.187849,-0.812545,-7.148176,3.0,-3.0,8.345432,2.779783
0.25,0.516163,2.963136,-1.155182,-6.499449,3.0,-3.0,7.697424,2.62543
0.3,0.657567,2.695538,-1.460845,-5.72977,3.0,-3.0,6.957057,2.484026
0.35,0.786261,2.458238,-1.729166,-5.015311,3.0,-3.0,6.303481,2.355331
0.4,0.903923,2.252297,-1.963586,-4.372645,3.0,-3.0,5.749409,2.23767
0.45,1.011741,2.061196,-2.167428,-3.789953,3.0,-3.0,5.276958,2.129852
0.5,1.109944,1.864275,-2.343388,-3.255825,3.0,-3.0,4.86775,2.031649
0.55,1.197751,1.642691,-2.493698,-2.763015,3.0,-3.0,4.508851,1.943841
0.6,1.273597,1.38463,-2.620287,-2.306024,3.0,-3.0,4.194074,1.867996
0.65,1.33557,1.088319,-2.72479,-1.878324,3.0,-3.0,3.924123,1.806023
0.7,1.381903,0.760694,-2.808472,-1.471721,3.0,-3.0,3.705218,1.759689
0.75,1.411302,0.412855,-2.872172,-1.077771,3.0,-3.0,3.54617,1.730291
0.8,1.423035,0.055709,-2.916342,-0.689524,3.0,-3.0,3.455002,1.718558
0.85,1.416867,-0.301822,-2.941139,-0.30222,3.0,-3.0,3.436191,1.724725
0.9,1.392976,-0.651907,-2.946527,0.087283,-3.0,-3.0,3.48888,1.748617
0.95,1.323169,-2.131675,-2.931553,0.519364,-3.0,-3.0,4.08833,1.818423
1.0,1.181334,-3.51797,-2.893366,1.025452,-3.0,-3.0,5.063778,1.960259
1.05,0.97484,-4.693899,-2.826734,1.668401,-3.0,-3.0,6.123846,2.166752
1.1,0.71822,-5.494011,-2.723205,2.509254,-3.0,-3.0,7.054721,2.423373
1.15,0.434245,-5.774152,-2.572291,3.556914,-3.0,-3.0,7.74202,2.707348
1.2,0.149257,-5.559078,-2.365694,4.711307,-3.0,-3.0,8.224983,2.992336
1.25,-0.117387,-5.089827,-2.102007,5.819524,-3.0,-3.0,8.649427,3.258979
1.3,-0.360182,-4.642514,-1.785492,6.828999,-3.0,0.088104,9.145413,3.501775
1.35,-0.592523,-4.733143,-1.395451,8.881172,-3.0,2.016671,10.824452,3.734115
1.4,-0.853583,-5.961448,-0.855591,13.231389,3.0,2.510067,15.076538,3.995176
1.45,-1.198505,-7.565792,-0.042092,18.638395,-3.0,3.0,20.578368,4.340098
1.5,-1.543511,-5.569856,0.84635,15.445249,-3.0,3.0,17.09519,4.685104
1.55,-1.756699,-3.026178,1.526355,12.175868,-3.0,-3.0,13.554797,4.898291
1.6,-1.834395,-0.114652,2.052686,9.163271,3.0,3.0,10.627919,4.975988
1.65,-1.751721,3.570551,2.479101,7.893586,3.0,-3.0,10.254169,4.893314
1.7,-1.473312,7.376949,2.809201,5.296899,-3.0,-3.0,10.567188,4.614904
1.75,-1.067562,8.610383,3.01411,2.994669,3.0,-3.0,10.483729,4.209154
1.8,-0.598373,10.055004,3.119486,1.343234,-3.0,-3.0,11.252818,3.739965
1.85,-0.100314,9.791934,3.160748,0.426811,3.0,-3.0,10.796501,3.241906
1.9,0.403092,10.26664,3.172257,0.129823,-3.0,-3.0,11.089786,2.738501
1.95,0.888835,9.099007,3.181585,0.307589,3.0,-3.0,9.903734,2.252758
2.0,1.337802,8.819203,3.208279,0.80685,3.0,-3.0,9.590415,1.80379
2.05,1.767549,8.341743,3.265777,1.516355,3.0,-1.838652,9.188978,1.374044
2.1,2.16861,7.654265,3.366722,2.517222,3.0,-1.780516,8.786677,0.972982
2.15,2.527209,6.625597,3.515826,3.409587,1.730451,-2.175146,8.262102,0.614383
2.2,2.820884,5.105391,3.700386,3.898527,3.0,-0.408235,7.420191,0.320709
2.25,3.041797,3.748582,3.906377,4.268439,-1.525812,-3.0,6.895011,0.099795
2.3,3.190396,2.311498,4.109674,3.775908,3.0,3.0,6.040886,0.048804
2.35,3.286001,1.543556,4.305672,4.032337,-1.000267,-3.0,6.099342,0.144409
2.4,3.350418,1.125817,4.478693,2.82311,0.042477,3.0,5.416615,0.208825
2.45,3.394917,0.678218,4.621105,2.859276,-1.101572,-2.669493,5.482173,0.253325
2.5,3.432379,0.872629,4.723985,1.210449,-2.797517,3.0,4.962586,0.290787
2.55,3.466495,0.503303,4.786878,1.29854,-1.792672,0.614865,4.995927,0.324902
2.6,3.493038,0.574202,4.831374,0.469042,-3.0,3.0,4.900551,0.351445
2.65,3.515151,0.315753,4.855881,0.507852,-2.031599,2.530593,4.906806,0.373559
2.7,3.528884,0.237783,4.875226,0.26371,-2.832012,3.0,4.903459,0.387291
2.75,3.53582,0.04146,4.888419,0.26362,-1.680139,3.0,4.911544,0.394227
2.8,3.536056,-0.031549,4.898178,0.127186,-2.01828,3.0,4.915782,0.394463
2.85,3.5318,-0.13931,4.902221,0.035469,-1.661124,3.0,4.919827,0.390207
2.9,3.522917,-0.217682,4.900758,-0.092667,-1.713695,3.0,4.921261,0.381324
2.95,3.509678,-0.314662,4.893262,-0.205401,-1.586229,3.0,4.921453,0.368085
3.0,3.491437,-0.419019,4.880047,-0.320643,-1.451549,3.0,4.920939,0.349845
3.05,3.467643,-0.538289,4.861101,-0.433542,-1.198982,3.0,4.920805,0.326051
3.1,3.43761,-0.670367,4.836394,-0.549488,-0.785566,3.0,4.922363,0.296017
3.15,3.40082,-0.810616,4.805594,-0.675264,-0.13661,3.0,4.926866,0.259227
3.2,3.357132,-0.948591,4.767918,-0.822122,1.012084,3.0,4.9351,0.215539
3.25,3.307556,-1.048449,4.721413,-1.02617,3.0,3.0,4.946873,0.165964
3.3,3.255755,-1.039573,4.661547,-1.355074,3.0,3.0,4.965883,0.114163
3.35,3.201923,-1.131471,4.587395,-1.594371,3.0,3.0,4.98699,0.06033
3.4,3.140745,-1.33523,4.503959,-1.722305,3.0,3.0,5.003481,0.000847
3.45,3.066368,-1.660793,4.41748,-1.710676,3.0,-3.0,5.020402,0.075225
3.5,2.981486,-1.803787,4.299204,-2.959862,3.0,-3.0,5.524782,0.160107
3.55,2.878142,-2.414747,4.128301,-3.802028,3.0,-3.0,6.115448,0.26345
3.6,2.73124,-3.543724,3.92688,-4.170801,3.0,-3.0,6.748506,0.410352
3.65,2.517048,-5.06293,3.719838,-4.023017,3.0,-3.0,7.486333,0.624544
3.7,2.224744,-6.593682,3.532716,-3.391255,3.0,-0.046242,8.264257,0.916849
3.75,1.864459,-7.721285,3.40069,-1.856512,-3.0,-3.0,8.732734,1.277133
3.8,1.43168,-9.538061,3.33666,-0.666077,3.0,-3.0,10.27012,1.709913
3.85,0.94599,-9.809106,3.334682,0.577235,-3.0,-3.0,10.60625,2.195603
3.9,0.432053,-10.612234,3.395976,1.91066,3.0,-3.0,11.625162,2.709539
3.95,-0.071532,-9.383131,3.52594,3.257152,-3.0,-3.0,11.018558,3.213125
4.0,-0.518424,-8.37315,3.721201,4.528578,-3.0,-3.0,10.856368,3.660017
4.05,-0.901911,-6.948907,3.972966,5.455249,-3.0,-3.0,10.496734,4.043504
4.1,-1.215398,-5.629421,4.256941,5.804307,-3.0,-3.0,10.123501,4.356991
4.15,-1.468975,-4.547239,4.544064,5.592336,-3.0,-3.0,9.688005,4.610567
4.2,-1.672287,-3.594399,4.807613,4.863279,-3.0,-3.0,9.102625,4.81388
4.25,-1.828164,-2.629456,5.021493,3.601843,-3.0,-3.0,8.35471,4.969756
4.3,-1.93359,-1.570981,5.159077,1.825297,-3.0,-0.912114,7.627139,5.075183
4.35,-1.992502,-0.782088,5.221284,0.637171,-3.0,1.268169,7.391778,5.134095
4.4,-2.02091,-0.35504,5.246035,0.34841,-3.0,2.21503,7.376975,5.162502
4.45,-2.032237,-0.100303,5.266969,0.492316,-2.835286,2.201951,7.400129,5.173829
4.5,-2.030712,0.15729,5.295047,0.640893,-2.127393,2.940526,7.431402,5.172304
4.55,-2.018428,0.324188,5.338337,1.114804,-0.351722,1.182991,7.514755,5.16002
4.6,-1.985211,1.001504,5.378064,0.492973,0.296899,3.0,7.51357,5.126804
4.65,-1.92616,1.345547,5.411118,0.871611,2.55007,1.504724,7.58502,5.067753
4.7,-1.837181,2.200848,5.438065,0.260558,3.0,3.0,7.698855,4.978774
4.75,-1.71481,2.660104,5.462611,0.810239,-0.145284,0.27537,7.82032,4.856403
4.8,-1.569908,3.102135,5.506737,1.046515,3.0,3.0,7.95241,4.711501
4.85,-1.415284,3.000707,5.601929,2.921423,0.563369,-3.0,8.347796,4.556877
4.9,-1.244804,3.815988,5.726335,2.084115,3.0,-0.629983,8.422392,4.386396
4.95,-1.043671,4.193072,5.842116,2.613161,-1.396294,-3.0,8.721079,4.185263
5.0,-0.826392,4.511605,5.975941,2.685125,3.0,-1.209122,8.88939,3.967985
5.05,-0.585774,5.144475,6.102458,2.26504,-3.0,-3.0,9.095564,3.727366
5.1,-0.31956,5.539018,6.202389,1.594776,3.0,-0.712004,9.147308,3.461152
5.15,-0.022573,6.326255,6.247823,0.189518,-3.0,-2.31842,9.439526,3.164166
5.2,0.295489,6.342942,6.242789,-0.333162,3.0,0.881061,9.349686,2.846103
5.25,0.604128,5.959756,6.241148,0.305338,-3.0,-1.861958,9.000144,2.537464
5.3,0.886123,5.307248,6.265446,0.646249,3.0,-3.0,8.539759,2.25547
5.35,1.174369,6.174044,6.217798,-2.458737,-3.0,-1.178756,9.311026,1.967223
5.4,1.450031,4.824388,6.136314,-0.751021,3.0,-2.093657,8.022124,1.691562
5.45,1.694177,4.934039,6.063376,-2.140917,3.0,-3.0,8.233335,1.447416
5.5,1.950637,5.303254,5.906114,-4.064935,2.347924,0.250526,8.997153,1.190955
5.55,2.194404,4.484113,5.73363,-2.912752,1.353222,-1.365746,7.897029,0.947189
5.6,2.410472,4.189774,5.585062,-3.082991,2.941884,1.819315,7.667235,0.731121
5.65,2.603063,3.559257,5.458406,-2.085583,-0.714044,-0.29033,6.863102,0.53853
5.7,2.770035,3.15641,5.357976,-2.005856,0.658847,2.495057,6.544642,0.371557
5.75,2.912792,2.587073,5.279372,-1.213028,-0.723781,0.904654,6.00737,0.228801
5.8,3.034716,2.315997,5.218188,-1.280666,-0.831246,2.938783,5.85191,0.106877
5.85,3.137944,1.835059,5.169989,-0.693197,-1.308654,1.677764,5.529626,0.003649
5.9,3.223853,1.618976,5.133718,-0.785605,-1.76642,3.0,5.440596,0.082261
5.95,3.295092,1.244567,5.104256,-0.418752,-1.824019,2.19096,5.272693,0.1535
6.0,3.35239,1.058465,5.081862,-0.493144,-2.209272,3.0,5.218553,0.210798
6.05,3.397939,0.771911,5.062889,-0.279672,-1.967667,2.564016,5.135429,0.256346
6.1,3.432493,0.616493,5.047702,-0.33641,-2.166228,3.0,5.104621,0.2909
6.15,3.458066,0.410913,5.033381,-0.243405,-1.670235,2.997409,5.065884,0.316473
