time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,0.886326,-0.218703,3.141593,3.141593
0.05,0.006533,0.257859,-0.014127,-0.556921,3.0,-3.0,3.194597,3.13506
0.1,0.062704,1.940657,-0.142869,-4.477161,3.0,-3.0,5.771576,3.078889
0.15,0.190011,3.000498,-0.436535,-6.908346,3.0,-3.0,8.101273,2.951581
0.2,0.34689,3.164019,-0.795816,-7.198183,3.0,-3.0,8.382634,2.794703
0.25,0.500219,2.943733,-1.141425,-6.563011,3.0,-3.0,7.747153,2.641374
0.3,0.640614,2.674366,-1.450243,-5.791687,3.0,-3.0,7.003854,2.500979
0.35,0.768219,2.436252,-1.721589,-5.074523,3.0,-3.0,6.346879,2.373373
0.4,0.884822,2.232482,-1.958921,-4.430024,3.0,-3.0,5.791328,2.256771
0.45,0.991779,2.047254,-2.165594,-3.845755,3.0,-3.0,5.319076,2.149813
0.5,1.089509,1.859812,-2.344294,-3.309503,3.0,-3.0,4.911056,2.052084
0.55,1.177387,1.650286,-2.497217,-2.813693,3.0,-3.0,4.553516,1.964205
0.6,1.253936,1.405135,-2.626251,-2.353097,3.0,-3.0,4.239329,1.887657
0.65,1.317241,1.120839,-2.733016,-1.921795,3.0,-3.0,3.968276,1.824352
0.7,1.36546,0.803216,-2.818792,-1.512162,-3.0,-3.0,3.745935,1.776133
0.75,1.369339,-0.659718,-2.883299,-1.072051,-3.0,-3.0,3.610931,1.772254
0.8,1.298973,-2.15392,-2.925868,-0.62584,-3.0,-3.0,4.121528,1.842619
0.85,1.154651,-3.605204,-2.945188,-0.139027,-3.0,-3.0,5.063486,1.986941
0.9,0.940612,-4.925278,-2.938943,0.397277,-3.0,-3.0,6.156126,2.20098
0.95,0.666378,-5.98867,-2.904598,0.985727,-3.0,-3.0,7.169324,2.475215
1.0,0.348694,-6.636595,-2.83945,1.628913,-3.0,-3.0,7.90952,2.792899
1.05,0.011953,-6.737256,-2.741165,2.302006,-3.0,-3.0,8.246119,3.12964
1.1,-0.315746,-6.290239,-2.610336,2.907262,-3.0,-3.0,8.17229,3.457339
1.15,-0.610768,-5.468466,-2.454256,3.284823,-3.0,3.0,7.797293,3.752361
1.2,-0.864884,-4.690864,-2.255961,4.602265,-3.0,3.0,8.020365,4.006476
1.25,-1.08182,-4.025023,-1.997436,5.720348,-3.0,3.0,8.411311,4.223413
1.3,-1.27251,-3.664961,-1.683362,6.878741,-3.0,3.0,9.114112,4.414103
1.35,-1.455769,-3.761046,-1.30162,8.534968,-3.0,-0.459338,10.479556,4.597362
1.4,-1.645813,-3.908146,-0.846918,9.781883,-3.0,-3.0,11.601524,4.787406
1.45,-1.833553,-3.504948,-0.35843,9.537468,-3.0,0.645394,11.319386,4.975145
1.5,-2.016245,-3.639941,0.160587,10.874106,-3.0,3.0,12.574753,5.157837
1.55,-2.192584,-3.155869,0.727425,11.299064,-3.0,3.0,12.907786,5.334177
1.6,-2.315702,-1.665618,1.268638,10.314068,-3.0,3.0,11.855201,5.457294
1.65,-2.348088,0.509003,1.759776,9.332635,-3.0,3.0,10.981373,5.48968
1.7,-2.247751,3.675901,2.198901,8.161445,-3.0,1.035726,10.677154,5.389344
1.75,-1.969008,7.414658,2.556181,6.027124,-3.0,3.0,11.133538,5.110601
1.8,-1.525617,10.073113,2.804472,3.885854,-3.0,-3.0,12.091954,4.667209
1.85,-0.988673,11.142047,2.919147,0.774954,3.0,3.0,12.260762,4.130266
1.9,-0.401471,12.19177,2.915639,-0.902084,-3.0,-2.077529,13.057843,3.543064
1.95,0.183708,11.003283,2.80632,-3.437001,3.0,3.0,12.227417,2.957885
2.0,0.705289,9.71147,2.596239,-4.956583,-3.0,-2.034756,11.469803,2.436303
2.05,1.128793,7.286241,2.297795,-6.821893,3.0,-3.0,10.438331,2.012799
2.1,1.464452,6.256639,1.912194,-8.587201,-3.0,3.0,10.924964,1.677141
2.15,1.739293,4.808873,1.492448,-8.069515,3.0,-2.273317,9.614373,1.4023
2.2,1.982263,5.038711,1.04665,-9.97127,-3.0,3.0,11.280707,1.15933
2.25,2.206747,3.827122,0.581945,-8.278803,2.516519,3.0,9.186841,0.934846
2.3,2.374016,2.780855,0.211843,-6.319241,3.0,3.0,6.949821,0.767577
2.35,2.482614,1.562579,-0.043483,-3.893579,3.0,3.0,4.247088,0.658979
2.4,2.532724,0.471416,-0.1836,-1.784549,3.0,3.0,1.95225,0.608869
2.45,2.531832,-0.49761,-0.227173,0.016385,3.0,3.0,0.819329,0.609761
2.5,2.482528,-1.491927,-0.181187,1.861525,1.058773,-1.455713,2.481596,0.659065
2.55,2.414212,-1.253125,-0.125733,0.377926,-3.0,0.889528,1.502678,0.72738
2.6,2.312623,-2.835382,-0.042981,2.983088,3.0,-1.424432,4.198481,0.828969
2.65,2.181274,-2.436143,0.059417,1.13914,-3.0,-3.0,2.856252,0.960319
2.7,2.053587,-2.677917,0.092907,0.201943,3.0,2.48793,2.899035,1.088005
2.75,1.888571,-3.919911,0.155174,2.258837,-3.0,-3.0,4.697041,1.253022
2.8,1.68665,-4.138604,0.238917,1.03231,3.0,-3.0,4.513053,1.454943
2.85,1.505751,-3.067925,0.196454,-2.780975,-3.0,-3.0,4.456519,1.635841
2.9,1.351442,-3.155129,0.0181,-4.236205,3.0,3.0,5.577207,1.790151
2.95,1.151762,-4.890099,-0.117285,-1.022708,-3.0,1.314866,5.378864,1.989831
3.0,0.848244,-7.197056,-0.059318,3.259783,3.0,-3.0,8.227197,2.293348
3.05,0.515359,-6.030565,0.019772,-0.266234,-3.0,-3.0,6.583015,2.626233
3.1,0.220007,-5.785038,-0.031362,-1.707688,3.0,3.0,6.702202,2.921586
3.15,-0.093589,-6.716514,-0.052421,0.842492,-3.0,2.453424,7.5027,3.235182
