time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0000,0.0,0.0,0.0,0.0,0.0,0.0,3.141592653589793,-3.141592653589793
0.0500,0.0012824134316825342,0.05078716306972042,-0.0017923000201574594,-0.07058740149053158,0.5671819288189475,0.15407628741543644,3.141514528688847,-3.1403102401581107
0.1000,0.007994456622957537,0.21552570013810396,-0.008314863525065505,-0.18600488774635246,2.9999999966139077,1.0671921078159607,3.1465148883605805,-3.1335981969668354
0.1500,0.02165508197127024,0.32716311101048395,-0.01762963673221187,-0.1798220803956717,2.9999999999892832,1.1536559397598114,3.1422432968648497,-3.119937571618523
0.2000,0.040652661131700976,0.428198158052011,-0.026478706094682523,-0.16670161962500593,2.999999999993422,1.1173087861727757,3.1349119686599134,-3.100939992458092
0.2500,0.06444726919822795,0.5183558285492779,-0.034686606487598984,-0.15367484448173352,3.0,1.0703731272131973,3.1244736517003036,-3.077145384391565
0.3000,0.09242770918342126,0.5950520784700494,-0.04226604737683571,-0.14118104007225224,3.0,1.0202428904451843,3.1101788275153868,-3.049164944406372
0.3500,0.12386147229196512,0.6560436786204031,-0.04924642518644552,-0.1294767571659149,3.0,0.967902209829218,3.0913240257007706,-3.017731181297828
0.4000,0.1579145468962651,0.6995338468952621,-0.05566665885143346,-0.11870780106701329,3.0,0.914422360098092,3.0673886232846677,-2.983678106693528
0.4500,0.19367680078645494,0.724286424861828,-0.06157333617088593,-0.10904392398953386,3.0,0.860839812188434,3.038170593224582,-2.9479158528033382
0.5000,0.23019058322409178,0.7296391122382102,-0.06702065172454119,-0.10061402117491773,3.0,0.8082696023367857,3.003872533655852,-2.9114020703657015
0.5500,0.26648003468136294,0.715518969739423,-0.07206871279217454,-0.09350755728039076,3.0,0.7577556257253808,2.9651606246703603,-2.87511261890843
0.6000,0.30158048828531514,0.6824317221617752,-0.07678178007269415,-0.08777323069378748,2.9999999999596696,0.7102029996083823,2.923180072501123,-2.840012165304478
0.6500,0.3345667228509877,0.6314285098346544,-0.08122640516919702,-0.08341996970572074,2.9999999999987073,0.6663254116154891,2.8795230784132437,-2.8070259307388055
0.7000,0.3645351731816697,0.5623240570098286,-0.08535994645909169,-0.07609553322617253,2.999999999999353,0.6310997232309545,2.8357245009378436,-2.777057480408123
0.7500,0.3904215076395167,0.46898027442581375,-0.08851486278820268,-0.045449597149120634,2.999999999988713,0.6220608439468078,2.79263060910771,-2.7511711459502766
0.8000,0.4114243250014111,0.36793374822569497,-0.09040550772245386,-0.026830160805641504,2.9999999994131925,0.5854202110721314,2.756462834660736,-2.730168328588382
0.8500,0.42715265061559393,0.2588992866812303,-0.09145234677218869,-0.01277769295999318,2.999999999996966,0.5635436914243441,2.728321859964132,-2.7144400029741993
0.9000,0.4372500423409051,0.14358671599563472,-0.09181172771748217,-0.00032037098857777384,2.999999999999704,0.5509852077279399,2.7097076595106904,-2.704342611248888
0.9500,0.4414791272024201,0.02505445875859133,-0.09156605560971195,0.01048732552151559,2.999999999999051,0.5442854236590445,2.701802196279412,-2.700113526387373
1.0000,0.4394659637918623,-0.10507330398579728,-0.09007084076568324,0.0483978688064329,2.9999999990563686,0.5729931745642309,2.706101283579396,-2.7021266897979306
1.0500,0.4300292981432511,-0.270731365573442,-0.08743740658957672,0.05472173705674888,1.7321949659519749,0.04396637624925592,2.7269967127745844,-2.711563355446542
1.1000,0.4072696821908843,-0.6361414035244646,-0.08332382077348985,0.10593785770449382,-2.999999999999184,-1.785320967693328,2.8105806670510534,-2.734322971398909
1.1500,0.3670425299379793,-0.966813043301765,-0.0777228316476538,0.11160368481448979,-2.9999999999995115,-1.7993241673113414,2.941318083849181,-2.7745501236518137
1.2000,0.310879653893161,-1.2710737631734872,-0.07181219502119267,0.11590236364519152,-2.999999999999851,-1.7538427792437072,3.105986952215321,-2.8307129996966323
