time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.515936,0.83798,3.141593,3.141593
0.05,0.004165,0.165244,-0.004141,-0.162886,2.382824,0.927133,3.145998,3.137427
0.1,0.014721,0.25396,-0.012247,-0.155703,2.321728,0.870159,3.141053,3.126871
0.15,0.029486,0.33297,-0.019922,-0.145147,2.274683,0.812192,3.133296,3.112107
0.2,0.047965,0.402014,-0.027094,-0.135217,2.244004,0.758614,3.122686,3.093628
0.25,0.069622,0.459663,-0.033795,-0.126011,2.230128,0.71014,3.108909,3.07197
0.3,0.093859,0.504862,-0.040061,-0.117641,2.230857,0.66649,3.091765,3.047733
0.35,0.120032,0.536861,-0.045935,-0.11025,2.246726,0.628706,3.071207,3.021561
0.4,0.147468,0.55528,-0.051463,-0.103821,2.276964,0.597125,3.047383,2.994125
0.45,0.175486,0.560136,-0.05669,-0.098366,2.320352,0.57192,3.020667,2.966106
0.5,0.203415,0.551811,-0.061663,-0.093872,2.375323,0.553055,2.991655,2.938178
0.55,0.230611,0.531013,-0.066427,-0.090306,2.44003,0.540287,2.961142,2.910982
0.6,0.256472,0.498747,-0.071024,-0.087611,2.512428,0.533183,2.930083,2.88512
0.65,0.280456,0.456261,-0.075495,-0.085715,2.590354,0.531148,2.899538,2.861136
0.7,0.302086,0.405004,-0.079878,-0.084534,2.671615,0.533466,2.870601,2.839507
0.75,0.320962,0.346573,-0.084205,-0.083971,2.754062,0.539339,2.84433,2.820631
0.8,0.336767,0.282667,-0.088504,-0.083926,2.835648,0.547931,2.82167,2.804825
0.85,0.349272,0.215037,-0.0928,-0.084295,2.914494,0.558412,2.803393,2.792321
0.9,0.358333,0.145448,-0.09711,-0.084972,2.988907,0.56998,2.790043,2.78326
0.95,0.363897,0.07564,-0.101448,-0.085855,3.0,0.559406,2.781902,2.777696
1.0,0.365932,0.004829,-0.105812,-0.086416,3.0,0.546566,2.779024,2.77566
1.05,0.364433,-0.065288,-0.110195,-0.08707,3.0,0.536198,2.781475,2.77716
1.1,0.359482,-0.132745,-0.114604,-0.087838,3.0,0.528295,2.789017,2.782111
1.15,0.351259,-0.195684,-0.119043,-0.088622,3.0,0.522724,2.801121,2.790334
1.2,0.340036,-0.25236,-0.12351,-0.089326,3.0,0.519211,2.817027,2.801557
1.25,0.326167,-0.301132,-0.128004,-0.089985,3.0,0.517941,2.835804,2.815426
1.3,0.31008,-0.3407,-0.132513,-0.090292,3.0,0.518509,2.85644,2.831512
1.35,0.292268,-0.369919,-0.137021,-0.09017,3.0,0.52064,2.877916,2.849325
1.4,0.273269,-0.387901,-0.141506,-0.089613,3.0,0.523972,2.899276,2.868323
1.45,0.253665,-0.394039,-0.14595,-0.088705,3.0,0.528394,2.919686,2.887928
1.5,0.234052,-0.388161,-0.150334,-0.087304,3.0,0.533378,2.938483,2.90754
1.55,0.215031,-0.370405,-0.154633,-0.085382,3.0,0.538438,2.955192,2.926561
1.6,0.197186,-0.341258,-0.158823,-0.08293,3.0,0.543037,2.969527,2.944406
1.65,0.181068,-0.301549,-0.162881,-0.079953,3.0,0.546609,2.981369,2.960525
1.7,0.167178,-0.252428,-0.166782,-0.076472,3.0,0.548585,2.990741,2.974415
1.75,0.155952,-0.195329,-0.170505,-0.072525,2.95374,0.530339,2.997755,2.98564
1.8,0.147701,-0.133922,-0.174021,-0.06781,2.887149,0.501232,3.0027,2.993892
1.85,0.142576,-0.070719,-0.1773,-0.062685,2.823991,0.470637,3.005739,2.999017
1.9,0.140627,-0.007363,-0.180331,-0.057466,2.765824,0.439349,3.006937,3.000965
1.95,0.141821,0.054475,-0.183111,-0.052255,2.714104,0.408023,3.006303,2.999772
2.0,0.14604,0.11322,-0.185642,-0.047149,2.670047,0.377339,3.003805,2.995553
