time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.508296,0.834989,3.141593,3.141593
0.05,0.004157,0.164915,-0.004139,-0.162826,2.375084,0.923996,3.145986,3.137435
0.1,0.01469,0.25336,-0.012244,-0.15571,2.313069,0.866542,3.141036,3.126903
0.15,0.029418,0.332134,-0.019924,-0.14536,2.266488,0.808909,3.133284,3.112174
0.2,0.047849,0.400934,-0.027109,-0.135504,2.2344,0.754741,3.122674,3.093743
0.25,0.069446,0.458334,-0.033826,-0.12641,2.217927,0.705289,3.108903,3.072147
0.3,0.093608,0.503203,-0.040114,-0.118104,2.217164,0.661053,3.09176,3.047984
0.35,0.119689,0.534868,-0.046013,-0.110782,2.231546,0.62272,3.071217,3.021903
0.4,0.147017,0.552947,-0.051569,-0.1044,2.260288,0.590594,3.047424,2.994576
0.45,0.17491,0.557468,-0.056826,-0.098968,2.302183,0.564854,3.020762,2.966683
0.5,0.202697,0.54882,-0.061829,-0.094476,2.355675,0.545469,2.991833,2.938896
0.55,0.229735,0.527724,-0.066621,-0.090892,2.418939,0.532203,2.961437,2.911858
0.6,0.255425,0.495191,-0.071247,-0.088162,2.489951,0.524633,2.930534,2.886168
0.65,0.279225,0.452481,-0.075744,-0.086218,2.566577,0.522173,2.900183,2.862368
0.7,0.300661,0.401052,-0.08015,-0.084977,2.646653,0.524117,2.871477,2.840932
0.75,0.319336,0.34251,-0.084497,-0.084346,2.728056,0.529678,2.84547,2.822257
0.8,0.334936,0.278562,-0.088813,-0.084229,2.808764,0.538029,2.823101,2.806656
0.85,0.347236,0.210967,-0.093121,-0.084522,2.88691,0.548341,2.80513,2.794357
0.9,0.356096,0.141498,-0.09744,-0.085122,2.960816,0.559822,2.792088,2.785497
0.95,0.361466,0.071898,-0.101784,-0.085929,3.0,0.560368,2.784244,2.780126
1.0,0.363352,0.002604,-0.106154,-0.086626,3.0,0.547848,2.781618,2.77824
1.05,0.361778,-0.066037,-0.110545,-0.087151,3.0,0.537504,2.78416,2.779815
1.1,0.356827,-0.131995,-0.114955,-0.087784,3.0,0.52959,2.791642,2.784766
1.15,0.348679,-0.193451,-0.119387,-0.088437,3.0,0.523981,2.803545,2.792913
1.2,0.337604,-0.248699,-0.123842,-0.089018,3.0,0.520456,2.819125,2.803989
1.25,0.323951,-0.296161,-0.128316,-0.089507,3.0,0.519035,2.83748,2.817642
1.3,0.308144,-0.334531,-0.1328,-0.089711,3.0,0.519478,2.857626,2.833449
1.35,0.290666,-0.362721,-0.137277,-0.089497,3.0,0.521402,2.878576,2.850926
1.4,0.272051,-0.379858,-0.141728,-0.088901,3.0,0.524579,2.899406,2.869542
1.45,0.252864,-0.385401,-0.146135,-0.087918,3.0,0.528758,2.91931,2.888728
1.5,0.233694,-0.379176,-0.150479,-0.086456,3.0,0.533466,2.937647,2.907899
1.55,0.215126,-0.361333,-0.154735,-0.084488,3.0,0.538225,2.953955,2.926467
1.6,0.197732,-0.332365,-0.158882,-0.082006,3.0,0.542508,2.967954,2.943861
1.65,0.182048,-0.293098,-0.162894,-0.079015,3.0,0.545762,2.979528,2.959544
1.7,0.168565,-0.24467,-0.16675,-0.075539,3.0,0.547437,2.98869,2.973028
1.75,0.157706,-0.188493,-0.170428,-0.071614,2.936322,0.522108,2.995544,2.983887
1.8,0.14975,-0.128962,-0.173896,-0.066809,2.871598,0.49339,3.000409,2.991843
1.85,0.144827,-0.067641,-0.177128,-0.06179,2.809976,0.463345,3.003393,2.996766
1.9,0.142985,-0.0062,-0.180117,-0.056688,2.753065,0.432601,3.004554,2.998608
1.95,0.144188,0.053731,-0.182861,-0.051598,2.702309,0.401804,3.003901,2.997404
2.0,0.148323,0.110623,-0.185362,-0.046615,2.658924,0.37163,3.001405,2.993269
2.05,0.155203,0.163086,-0.187627,-0.041828,2.623879,0.342755,2.997011,2.98639
2.1,0.164573,0.209898,-0.189667,-0.037321,2.597878,0.315831,2.990664,2.97702
2.15,0.176124,0.250036,-0.191496,-0.033167,2.581345,0.291453,2.98233,2.965468
2.2,0.189502,0.28269,-0.193131,-0.029429,2.574426,0.270131,2.972023,2.952091
2.25,0.204314,0.307282,-0.194592,-0.026156,2.576993,0.252266,2.959827,2.937278
2.3,0.220149,0.323471,-0.195903,-0.023382,2.588659,0.238128,2.94591,2.921443
2.35,0.236582,0.331147,-0.197086,-0.021125,2.608797,0.227852,2.930535,2.905011
2.4,0.253188,0.33043,-0.198168,-0.019391,2.636576,0.221427,2.914054,2.888405
2.45,0.269554,0.321653,-0.199171,-0.018168,2.670992,0.218712,2.896906,2.872038
2.5,0.28529,0.305345,-0.200121,-0.017434,2.710904,0.219442,2.879592,2.856302
2.55,0.300036,0.282203,-0.201041,-0.017156,2.755084,0.223255,2.862656,2.841557
2.6,0.313469,0.253071,-0.201952,-0.01729,2.802248,0.229713,2.84665,2.828124
2.65,0.325313,0.218908,-0.202873,-0.017787,2.8511,0.238324,2.832106,2.81628
2.7,0.335343,0.180757,-0.203821,-0.018592,2.900371,0.248577,2.819503,2.80625
2.75,0.343387,0.139722,-0.20481,-0.019646,2.948844,0.259958,2.809237,2.798206
2.8,0.349327,0.096929,-0.205851,-0.020889,2.995383,0.271969,2.801598,2.792266
2.85,0.353105,0.053508,-0.206952,-0.022261,3.0,0.26894,2.796757,2.788488
2.9,0.354674,0.008872,-0.208111,-0.023399,3.0,0.26507,2.79479,2.786918
2.95,0.354004,-0.035764,-0.209324,-0.024613,3.0,0.262518,2.795774,2.787588
3.0,0.351127,-0.079128,-0.210594,-0.025901,3.0,0.261308,2.799639,2.790466
3.05,0.346137,-0.12,-0.211923,-0.027208,3.0,0.261404,2.806176,2.795456
3.1,0.339187,-0.157228,-0.213313,-0.028473,3.0,0.262756,2.81505,2.802405
3.15,0.330488,-0.189756,-0.214759,-0.029642,3.0,0.265298,2.82583,2.811104
3.2,0.320298,-0.216653,-0.216255,-0.03066,3.0,0.268937,2.838018,2.821295
3.25,0.308919,-0.237144,-0.217793,-0.031477,3.0,0.273546,2.851088,2.832674
3.3,0.296686,-0.25063,-0.219363,-0.03205,3.0,0.278957,2.864516,2.844906
3.35,0.283963,-0.25671,-0.220951,-0.032342,3.0,0.284956,2.877814,2.85763
3.4,0.271124,-0.255194,-0.222545,-0.032321,3.0,0.291286,2.890551,2.870469
3.45,0.25855,-0.246109,-0.224129,-0.031968,3.0,0.29765,2.902371,2.883042
3.5,0.246616,-0.229706,-0.225687,-0.031271,3.0,0.30372,2.913,2.894977
3.55,0.235676,-0.20645,-0.227204,-0.030228,3.0,0.309154,2.922244,2.905917
3.6,0.226057,-0.17701,-0.228663,-0.028848,3.0,0.313615,2.929983,2.915535
3.65,0.21805,-0.142239,-0.230049,-0.027152,2.9977,0.315889,2.936153,2.923543
3.7,0.211893,-0.103249,-0.231349,-0.02515,2.953736,0.300331,2.94074,2.929699
3.75,0.207726,-0.062979,-0.23254,-0.022578,2.911744,0.283476,2.943828,2.933867
3.8,0.205588,-0.022365,-0.233606,-0.019903,2.872648,0.266093,2.945436,2.936005
3.85,0.20547,0.017523,-0.234543,-0.017197,2.837409,0.24861,2.945578,2.936123
3.9,0.20731,0.055669,-0.235352,-0.014522,2.806847,0.231457,2.944269,2.934283
3.95,0.210997,0.091139,-0.236035,-0.011937,2.781624,0.215063,2.941522,2.930596
4.0,0.216376,0.123107,-0.236597,-0.009496,2.762231,0.199834,2.937365,2.925217
4.05,0.223254,0.150868,-0.237046,-0.007249,2.748984,0.186141,2.931844,2.918339
4.1,0.231404,0.173857,-0.237391,-0.005238,2.742016,0.1743,2.92503,2.910188
4.15,0.240578,0.191654,-0.237644,-0.003499,2.741286,0.164563,2.917037,2.901015
4.2,0.250507,0.20399,-0.237818,-0.002054,2.746587,0.157105,2.908014,2.891085
4.25,0.260915,0.210752,-0.237928,-0.000922,2.757556,0.152016,2.89816,2.880677
4.3,0.271523,0.211974,-0.237989,-0.000109,2.773696,0.149309,2.887711,2.87007
4.35,0.282056,0.207832,-0.238015,0.000387,2.794386,0.148909,2.876942,2.859536
4.4,0.292255,0.198634,-0.238021,0.000576,2.818924,0.150677,2.866153,2.849338
4.45,0.301875,0.184802,-0.238023,0.000477,2.84653,0.154407,2.855661,2.839717
4.5,0.310698,0.166864,-0.238034,0.000113,2.876383,0.159845,2.845781,2.830895
4.55,0.318533,0.145428,-0.238066,-0.000486,2.907643,0.166703,2.83681,2.82306
4.6,0.325221,0.121166,-0.238129,-0.001288,2.939471,0.174671,2.829017,2.816371
4.65,0.330639,0.094795,-0.238234,-0.002255,2.971051,0.183428,2.822624,2.810953
4.7,0.3347,0.067059,-0.238386,-0.00335,3.0,0.192035,2.817797,2.806892
4.75,0.337353,0.038636,-0.238592,-0.00452,3.0,0.190194,2.814641,2.80424
4.8,0.338551,0.009089,-0.23885,-0.005526,3.0,0.188962,2.81322,2.803042
4.85,0.338262,-0.020633,-0.239156,-0.006614,3.0,0.188631,2.813597,2.80333
4.9,0.3365,-0.049682,-0.239514,-0.007754,3.0,0.189189,2.815749,2.805093
4.95,0.333317,-0.077234,-0.239927,-0.008907,3.0,0.190606,2.819578,2.808275
5.0,0.32881,-0.102504,-0.240394,-0.010034,3.0,0.192841,2.824915,2.812783
5.05,0.32311,-0.124771,-0.240912,-0.011097,3.0,0.195838,2.831532,2.818482
5.1,0.316385,-0.143397,-0.241479,-0.012061,3.0,0.199521,2.839158,2.825208
5.15,0.308829,-0.157844,-0.242088,-0.012891,3.0,0.203792,2.847497,2.832764
5.2,0.300664,-0.167694,-0.242732,-0.013557,3.0,0.208532,2.856239,2.840929
5.25,0.292127,-0.172655,-0.243404,-0.014033,3.0,0.213596,2.865084,2.849466
5.3,0.283467,-0.17258,-0.244093,-0.0143,3.0,0.218814,2.873752,2.858126
5.35,0.274937,-0.167462,-0.24479,-0.014341,3.0,0.223999,2.881993,2.866655
5.4,0.266787,-0.157442,-0.245484,-0.014149,3.0,0.22895,2.889595,2.874806
5.45,0.259255,-0.142807,-0.246163,-0.013722,3.0,0.23346,2.896385,2.882338
5.5,0.252563,-0.123975,-0.246818,-0.013065,3.0,0.237327,2.902232,2.88903
5.55,0.246907,-0.101492,-0.247437,-0.01219,3.0,0.240367,2.90704,2.894686
