time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,0.638388,0.228038,3.141593,3.141593
0.05,0.000905,0.035941,-0.000671,-0.02635,0.6287,0.246031,3.141004,3.140688
0.1,0.003318,0.059981,-0.002003,-0.025882,0.628618,0.239757,3.138955,3.138274
0.15,0.006894,0.082275,-0.003301,-0.024832,0.629093,0.232145,3.135878,3.134698
0.2,0.011536,0.102419,-0.00455,-0.023791,0.629945,0.223825,3.131826,3.130057
0.25,0.017119,0.119832,-0.005751,-0.022774,0.631221,0.214951,3.126858,3.124473
0.3,0.023496,0.134012,-0.006905,-0.02179,0.632894,0.205671,3.121059,3.118097
0.35,0.030493,0.144554,-0.008013,-0.020849,0.634935,0.196156,3.114536,3.1111
0.4,0.03792,0.151157,-0.009075,-0.019955,0.637314,0.186583,3.107428,3.103672
0.45,0.045575,0.153633,-0.010095,-0.019112,0.639985,0.177134,3.099902,3.096018
0.5,0.053249,0.151917,-0.011074,-0.018324,0.642893,0.167988,3.092152,3.088344
0.55,0.060732,0.146064,-0.012013,-0.017596,0.645974,0.159319,3.084394,3.08086
0.6,0.067822,0.136246,-0.012915,-0.016928,0.649158,0.151285,3.076862,3.07377
0.65,0.074327,0.122752,-0.013783,-0.016323,0.652374,0.14403,3.069795,3.067265
0.7,0.080072,0.105974,-0.014619,-0.015779,0.65555,0.137677,3.06343,3.061521
0.75,0.084904,0.086396,-0.015424,-0.015296,0.658619,0.132324,3.057987,3.056689
0.8,0.088697,0.064584,-0.016203,-0.014871,0.661516,0.128045,3.053658,3.052896
0.85,0.091354,0.041163,-0.016957,-0.0145,0.664187,0.124887,3.050598,3.050239
0.9,0.092812,0.016805,-0.017688,-0.014178,0.66658,0.122866,3.048911,3.048781
0.95,0.093041,-0.007794,-0.0184,-0.0139,0.668657,0.121969,3.048649,3.048552
1.0,0.092047,-0.031933,-0.019093,-0.01366,0.670385,0.122157,3.049804,3.049546
1.05,0.089869,-0.054923,-0.01977,-0.013451,0.67174,0.12336,3.052311,3.051724
1.1,0.086583,-0.076112,-0.020433,-0.013265,0.672708,0.125481,3.056055,3.05501
1.15,0.082293,-0.094899,-0.021083,-0.013094,0.673281,0.128402,3.060872,3.0593
1.2,0.077133,-0.110754,-0.021721,-0.01293,0.673462,0.131981,3.066565,3.06446
1.25,0.071262,-0.123231,-0.022347,-0.012767,0.673263,0.13606,3.07291,3.07033
1.3,0.064858,-0.131983,-0.022963,-0.012597,0.672701,0.140466,3.079675,3.076734
1.35,0.058115,-0.136771,-0.023569,-0.012413,0.671808,0.14502,3.086625,3.083478
1.4,0.051233,-0.137469,-0.024164,-0.01221,0.67062,0.149537,3.093534,3.090359
1.45,0.04442,-0.134072,-0.024749,-0.011983,0.669183,0.153837,3.100196,3.097173
1.5,0.037876,-0.126691,-0.025322,-0.011728,0.66755,0.157745,3.106426,3.103716
1.55,0.031798,-0.115554,-0.025884,-0.011442,0.665783,0.161102,3.11207,3.109795
1.6,0.026364,-0.100996,-0.026433,-0.011124,0.663941,0.163761,3.116997,3.115228
1.65,0.021737,-0.08345,-0.026968,-0.010774,0.662094,0.165603,3.121107,3.119856
1.7,0.018052,-0.063434,-0.027489,-0.010392,0.660307,0.16653,3.124323,3.123541
1.75,0.015419,-0.041536,-0.027994,-0.009982,0.658647,0.166476,3.126591,3.126174
1.8,0.013916,-0.018397,-0.028482,-0.009547,0.657176,0.165404,3.127875,3.127676
1.85,0.01359,0.005309,-0.028952,-0.00909,0.65595,0.163309,3.128155,3.128003
1.9,0.01445,0.028893,-0.029404,-0.008618,0.655021,0.16022,3.127426,3.127143
1.95,0.016474,0.051672,-0.029836,-0.008136,0.654428,0.156193,3.125699,3.125118
2.0,0.019605,0.072988,-0.030248,-0.00765,0.654203,0.151318,3.122996,3.121987
2.05,0.023754,0.092228,-0.03064,-0.007168,0.654366,0.145707,3.119361,3.117839
2.1,0.028803,0.108841,-0.031012,-0.006697,0.654922,0.139497,3.114854,3.11279
2.15,0.034608,0.122352,-0.031363,-0.006243,0.655865,0.132842,3.109558,3.106985
2.2,0.041003,0.132379,-0.031694,-0.005812,0.657175,0.125905,3.103581,3.10059
2.25,0.047807,0.138641,-0.032006,-0.005411,0.658819,0.118862,3.09706,3.093785
2.3,0.054827,0.140966,-0.032299,-0.005044,0.660754,0.111887,3.090156,3.086766
2.35,0.061863,0.139297,-0.032574,-0.004716,0.662927,0.105152,3.083054,3.079729
2.4,0.068717,0.133691,-0.032833,-0.00443,0.665276,0.09882,3.075961,3.072876
2.45,0.075194,0.124321,-0.033077,-0.004189,0.667737,0.093042,3.069099,3.066399
2.5,0.081113,0.111464,-0.033308,-0.003994,0.670242,0.087953,3.062692,3.060479
2.55,0.086309,0.095499,-0.033527,-0.003845,0.672725,0.083668,3.056962,3.055283
2.6,0.090637,0.076891,-0.033737,-0.003741,0.675121,0.080281,3.052113,3.050956
2.65,0.093978,0.056181,-0.033938,-0.00368,0.67737,0.077859,3.048323,3.047615
2.7,0.096242,0.033968,-0.034132,-0.003659,0.679419,0.076446,3.045734,3.045351
2.75,0.097368,0.010892,-0.034322,-0.003674,0.681222,0.076059,3.044439,3.044224
2.8,0.097332,-0.012382,-0.034509,-0.00372,0.682739,0.076686,3.044484,3.044261
2.85,0.096138,-0.035187,-0.034694,-0.003792,0.68394,0.07829,3.045857,3.045454
2.9,0.093828,-0.056871,-0.034879,-0.003883,0.6848,0.080806,3.048497,3.047764
2.95,0.090474,-0.076812,-0.035065,-0.003986,0.685304,0.084146,3.05229,3.051119
3.0,0.086176,-0.094444,-0.035252,-0.004095,0.685446,0.088198,3.057082,3.055417
3.05,0.081063,-0.109264,-0.035442,-0.004203,0.685227,0.09283,3.062687,3.06053
3.1,0.075288,-0.120855,-0.035634,-0.004302,0.684658,0.097892,3.068896,3.066305
3.15,0.06902,-0.12889,-0.035829,-0.004387,0.683755,0.103224,3.075487,3.072573
3.2,0.062443,-0.133147,-0.036026,-0.004451,0.682548,0.108655,3.082241,3.07915
3.25,0.05575,-0.133514,-0.036225,-0.004489,0.681072,0.114012,3.088945,3.085843
3.3,0.049137,-0.12999,-0.036425,-0.004497,0.67937,0.119123,3.095404,3.092456
3.35,0.042795,-0.122689,-0.036627,-0.004471,0.677496,0.123826,3.101445,3.098798
3.4,0.036909,-0.111831,-0.036827,-0.004409,0.675505,0.127965,3.106919,3.104684
