time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,3.0,1.016604,3.141593,3.141593
0.05,0.004795,0.190276,-0.004509,-0.177311,2.900011,1.128913,3.147564,3.136797
0.1,0.017128,0.299566,-0.013389,-0.171577,2.860327,1.074538,3.143507,3.124465
0.15,0.034706,0.399293,-0.021946,-0.163646,2.863348,1.029673,3.136789,3.106887
0.2,0.057051,0.489531,-0.030153,-0.156945,2.899214,0.994093,3.127232,3.084542
0.25,0.083654,0.568936,-0.038073,-0.1516,2.963991,0.967093,3.11434,3.057939
0.3,0.113937,0.636199,-0.045765,-0.147346,3.0,0.926881,3.097621,3.027656
0.35,0.147204,0.687869,-0.053259,-0.14335,3.0,0.870797,3.076185,2.994389
0.4,0.182597,0.721018,-0.060562,-0.139586,3.0,0.814162,3.049372,2.958995
0.45,0.219167,0.734843,-0.067688,-0.136327,3.0,0.758483,3.017239,2.922425
0.5,0.255935,0.729015,-0.074657,-0.133539,3.0,0.704884,2.98025,2.885658
0.55,0.291919,0.703797,-0.081486,-0.131176,3.0,0.654325,2.939356,2.849673
0.6,0.326169,0.660017,-0.088192,-0.129189,3.0,0.607542,2.89598,2.815424
0.65,0.357786,0.599031,-0.09479,-0.127532,3.0,0.565023,2.851959,2.783807
0.7,0.385953,0.52266,-0.101295,-0.126168,3.0,0.527019,2.809431,2.75564
0.75,0.409955,0.433114,-0.107719,-0.125057,3.0,0.49356,2.770682,2.731638
0.8,0.429195,0.332916,-0.114075,-0.124154,3.0,0.464503,2.737949,2.712398
0.85,0.443208,0.22483,-0.120373,-0.123413,3.0,0.439509,2.713217,2.698384
0.9,0.451676,0.111818,-0.126622,-0.122863,3.0,0.4179,2.698015,2.689917
0.95,0.454431,-0.002915,-0.132843,-0.122881,3.0,0.400397,2.69325,2.687162
1.0,0.451459,-0.11654,-0.139049,-0.122801,3.0,0.386153,2.69904,2.690134
1.05,0.442892,-0.226008,-0.145235,-0.122564,3.0,0.375048,2.714808,2.698701
1.1,0.429013,-0.32835,-0.151391,-0.122111,3.0,0.36705,2.739294,2.71258
1.15,0.410249,-0.420742,-0.157505,-0.121386,3.0,0.362206,2.770705,2.731344
1.2,0.387164,-0.500575,-0.163562,-0.120344,3.0,0.360602,2.806901,2.754429
1.25,0.360445,-0.565528,-0.169546,-0.11895,3.0,0.362306,2.845611,2.781148
1.3,0.330887,-0.613645,-0.175438,-0.117179,3.0,0.3673,2.884638,2.810706
1.35,0.299371,-0.64341,-0.181218,-0.115021,3.0,0.375411,2.922032,2.842222
1.4,0.266844,-0.653814,-0.186869,-0.11248,3.0,0.386249,2.956218,2.874749
1.45,0.234287,-0.644409,-0.192375,-0.109569,3.0,0.39917,2.986085,2.907306
1.5,0.202691,-0.615337,-0.19772,-0.106316,3.0,0.413271,3.01101,2.938902
1.55,0.173025,-0.567344,-0.202892,-0.102762,3.0,0.427097,3.030841,2.968567
1.6,0.14621,-0.501648,-0.20789,-0.09925,3.0,0.43942,3.045823,2.995383
1.65,0.123088,-0.420062,-0.212727,-0.096008,3.0,0.449406,3.056516,3.018504
1.7,0.104396,-0.325125,-0.217413,-0.092685,3.0,0.455227,3.063679,3.037196
1.75,0.090735,-0.219613,-0.221952,-0.089365,3.0,0.455668,3.068095,3.050857
1.8,0.082559,-0.106629,-0.226349,-0.086129,3.0,0.449766,3.070457,3.059033
1.85,0.08016,0.010499,-0.230614,-0.083057,3.0,0.436908,3.071247,3.061432
1.9,0.083661,0.128315,-0.234759,-0.080223,3.0,0.416906,3.070661,3.057932
1.95,0.093007,0.243339,-0.238797,-0.077692,3.0,0.390021,3.068574,3.048585
2.0,0.107974,0.352163,-0.242741,-0.075506,3.0,0.35696,3.064553,3.033619
2.05,0.128167,0.451559,-0.246607,-0.073685,3.0,0.318822,3.057921,3.013425
2.1,0.153039,0.538577,-0.250407,-0.072226,3.0,0.27701,3.047858,2.988553
2.15,0.181902,0.610638,-0.254154,-0.071106,3.0,0.233117,3.033529,2.95969
2.2,0.213951,0.665624,-0.257857,-0.070287,3.0,0.188784,3.014228,2.927642
2.25,0.248287,0.701945,-0.261524,-0.069727,3.0,0.145568,2.989515,2.893306
2.3,0.283947,0.718599,-0.265161,-0.069379,3.0,0.104812,2.959332,2.857645
2.35,0.319934,0.715189,-0.268773,-0.0692,3.0,0.06754,2.924086,2.821658
2.4,0.355247,0.691933,-0.272364,-0.069153,3.0,0.0344,2.884694,2.786346
2.45,0.388909,0.649635,-0.275939,-0.069204,3.0,0.005644,2.842574,2.752684
2.5,0.420001,0.589644,-0.279502,-0.069321,3.0,-0.018839,2.799584,2.721592
2.55,0.447682,0.513784,-0.283056,-0.06948,3.0,-0.039458,2.757912,2.693911
2.6,0.471213,0.424287,-0.286605,-0.069653,3.0,-0.056816,2.719916,2.67038
2.65,0.489977,0.323713,-0.290152,-0.069816,3.0,-0.072093,2.687921,2.651615
2.7,0.503495,0.215047,-0.293708,-0.070384,3.0,-0.085255,2.664024,2.638098
2.75,0.511434,0.101184,-0.297291,-0.071103,3.0,-0.096772,2.649794,2.630158
2.8,0.51361,-0.014898,-0.300901,-0.071655,3.0,-0.107259,2.646165,2.627982
2.85,0.509991,-0.130056,-0.304531,-0.072013,3.0,-0.116716,2.653331,2.631602
2.9,0.5007,-0.241174,-0.308168,-0.072128,3.0,-0.124889,2.670702,2.640893
2.95,0.486015,-0.345216,-0.311799,-0.071948,3.0,-0.131369,2.696972,2.655577
3.0,0.466364,-0.439261,-0.315406,-0.071494,3.0,-0.135459,2.730273,2.675229
3.05,0.442313,-0.520616,-0.318973,-0.070759,3.0,-0.136371,2.768375,2.69928
3.1,0.414556,-0.586903,-0.322482,-0.06969,3.0,-0.133474,2.80892,2.727036
3.15,0.383899,-0.636096,-0.325915,-0.068294,3.0,-0.126249,2.849627,2.757693
3.2,0.351238,-0.666624,-0.329253,-0.066572,3.0,-0.114458,2.888479,2.790355
3.25,0.317532,-0.677444,-0.332481,-0.064514,3.0,-0.098345,2.923859,2.82406
3.3,0.283784,-0.668071,-0.335583,-0.062161,3.0,-0.078538,2.954635,2.857809
3.35,0.251003,-0.638634,-0.33855,-0.059557,3.0,-0.056128,2.980188,2.890589
3.4,0.220179,-0.589882,-0.341374,-0.056748,3.0,-0.032605,3.000396,2.921413
3.45,0.192248,-0.523173,-0.344053,-0.053791,3.0,-0.009745,3.015561,2.949344
3.5,0.168065,-0.440423,-0.346589,-0.050753,3.0,0.009592,3.026308,2.973527
3.55,0.148384,-0.343732,-0.349005,-0.048524,3.0,0.025326,3.033415,2.993208
3.6,0.133828,-0.236269,-0.351331,-0.046357,3.0,0.034864,3.037771,3.007765
3.65,0.124858,-0.12121,-0.353576,-0.04433,3.0,0.036962,3.040125,3.016735
3.7,0.121771,-0.001963,-0.355753,-0.042506,3.0,0.030877,3.041002,3.019821
3.75,0.12469,0.117931,-0.357875,-0.040937,3.0,0.016448,3.040618,3.016903
3.8,0.133557,0.234908,-0.359955,-0.039659,3.0,-0.005886,3.038849,3.008036
3.85,0.148137,0.345488,-0.362005,-0.038695,3.0,-0.035112,3.03524,2.993455
3.9,0.168026,0.446375,-0.364037,-0.038047,3.0,-0.069741,3.029079,2.973566
3.95,0.19266,0.534564,-0.36606,-0.037698,3.0,-0.107948,3.0195,2.948933
4.0,0.221334,0.607438,-0.368082,-0.03762,3.0,-0.147736,3.005626,2.920259
4.05,0.253224,0.662855,-0.370107,-0.037772,3.0,-0.187132,2.986714,2.888369
4.1,0.287412,0.699221,-0.37214,-0.03811,3.0,-0.224362,2.962296,2.854181
4.15,0.322915,0.715538,-0.374182,-0.038588,3.0,-0.258005,2.93231,2.818678
4.2,0.358718,0.711436,-0.376237,-0.039163,3.0,-0.287105,2.897174,2.782875
4.25,0.393803,0.687167,-0.378304,-0.039796,3.0,-0.311224,2.857839,2.74779
4.3,0.427179,0.643585,-0.380386,-0.040452,3.0,-0.330428,2.815772,2.714413
4.35,0.457916,0.582092,-0.382484,-0.041099,3.0,-0.34522,2.772893,2.683677
4.4,0.485162,0.504576,-0.384599,-0.041708,3.0,-0.356429,2.73146,2.656431
4.45,0.508175,0.413334,-0.386733,-0.042256,3.0,-0.365621,2.693897,2.633418
4.5,0.526339,0.311179,-0.388896,-0.043192,3.0,-0.373055,2.66261,2.615254
4.55,0.539178,0.200899,-0.391107,-0.044272,3.0,-0.379545,2.639668,2.602415
4.6,0.54636,0.085419,-0.393366,-0.045161,3.0,-0.386039,2.626653,2.595233
4.65,0.547703,-0.032123,-0.395664,-0.045795,3.0,-0.392827,2.624489,2.593889
4.7,0.543185,-0.148542,-0.397987,-0.046119,3.0,-0.399941,2.633307,2.598408
4.75,0.532941,-0.260626,-0.40032,-0.046197,3.0,-0.406859,2.652429,2.608652
4.8,0.517265,-0.365263,-0.40265,-0.046059,3.0,-0.41274,2.68044,2.624327
4.85,0.496604,-0.459506,-0.404962,-0.045698,3.0,-0.416559,2.715363,2.644989
4.9,0.471544,-0.54064,-0.407242,-0.045106,3.0,-0.41713,2.754874,2.670049
4.95,0.4428,-0.60628,-0.409471,-0.04421,3.0,-0.413513,2.796547,2.698793
5.0,0.411198,-0.654398,-0.411632,-0.043022,3.0,-0.404845,2.838059,2.730394
5.05,0.377655,-0.683458,-0.413708,-0.0415,3.0,-0.390843,2.877385,2.763938
5.1,0.34315,-0.692423,-0.415682,-0.039702,3.0,-0.371552,2.912919,2.798442
5.15,0.308703,-0.680874,-0.417542,-0.037627,3.0,-0.347734,2.943571,2.832889
5.2,0.275339,-0.648996,-0.419279,-0.03534,3.0,-0.320637,2.96878,2.866254
5.25,0.244057,-0.597613,-0.42089,-0.032903,3.0,-0.291987,2.988492,2.897536
5.3,0.215802,-0.528169,-0.422374,-0.030372,3.0,-0.26386,3.003087,2.92579
5.35,0.191433,-0.442677,-0.423737,-0.027811,3.0,-0.238809,3.013259,2.95016
5.4,0.171696,-0.34355,-0.424992,-0.025559,3.0,-0.219109,3.019865,2.969897
5.45,0.157207,-0.233591,-0.426173,-0.024029,3.0,-0.205456,3.023793,2.984386
5.5,0.148423,-0.116332,-0.427306,-0.022623,3.0,-0.20007,3.025839,2.99317
5.55,0.145624,0.004749,-0.428403,-0.021425,3.0,-0.203667,3.026523,2.995969
5.6,0.148911,0.12604,-0.429478,-0.020477,3.0,-0.216312,3.026037,2.992682
5.65,0.158205,0.243922,-0.430541,-0.019804,3.0,-0.237375,3.024212,2.983388
5.7,0.173244,0.354871,-0.431605,-0.019416,3.0,-0.265591,3.020544,2.968349
5.75,0.193596,0.455572,-0.432677,-0.019309,3.0,-0.299177,3.014268,2.947997
5.8,0.218669,0.54302,-0.433766,-0.019462,3.0,-0.336014,3.004477,2.922924
5.85,0.247731,0.614617,-0.434874,-0.019846,3.0,-0.373851,2.990268,2.893862
5.9,0.279931,0.668264,-0.436007,-0.02042,3.0,-0.410526,2.970892,2.861661
5.95,0.314329,0.702424,-0.437164,-0.021143,3.0,-0.44417,2.945909,2.827264
6.0,0.349922,0.716179,-0.438348,-0.02197,3.0,-0.473371,2.915299,2.791671
6.05,0.385678,0.709245,-0.439557,-0.022861,3.0,-0.497283,2.879553,2.755914
6.1,0.42057,0.681973,-0.440794,-0.023775,3.0,-0.515668,2.839704,2.721023
6.15,0.4536,0.635315,-0.442058,-0.024677,3.0,-0.52885,2.797311,2.687992
6.2,0.483837,0.570774,-0.443349,-0.025532,3.0,-0.537627,2.754389,2.657755
6.25,0.510436,0.490335,-0.444669,-0.026314,3.0,-0.543452,2.713271,2.631157
6.3,0.532663,0.396492,-0.446023,-0.027268,3.0,-0.547584,2.676453,2.60893
6.35,0.549919,0.292047,-0.44743,-0.028611,3.0,-0.550281,2.646333,2.591674
6.4,0.561743,0.179719,-0.448899,-0.029746,3.0,-0.553183,2.624942,2.57985
6.45,0.567818,0.062593,-0.450419,-0.030593,3.0,-0.556997,2.613818,2.573774
6.5,0.567986,-0.056125,-0.451978,-0.03112,3.0,-0.56203,2.613782,2.573607
6.55,0.562247,-0.173171,-0.45356,-0.03137,3.0,-0.568093,2.624827,2.579346
6.6,0.550766,-0.285296,-0.455152,-0.031426,3.0,-0.574444,2.646115,2.590826
6.65,0.533868,-0.38937,-0.456741,-0.031307,3.0,-0.579952,2.676085,2.607725
6.7,0.512027,-0.482467,-0.458314,-0.030956,3.0,-0.583427,2.712637,2.629566
6.75,0.485858,-0.561875,-0.459855,-0.030376,3.0,-0.583534,2.753365,2.655734
6.8,0.456107,-0.62521,-0.461348,-0.029576,3.0,-0.578928,2.795789,2.685485
6.85,0.423626,-0.670533,-0.462776,-0.028467,3.0,-0.568824,2.837592,2.717967
6.9,0.389354,-0.696353,-0.464123,-0.027066,3.0,-0.552771,2.876781,2.752239
6.95,0.35429,-0.701741,-0.465372,-0.025386,3.0,-0.530962,2.911822,2.787302
7.0,0.31947,-0.686367,-0.466514,-0.023469,3.0,-0.504209,2.941711,2.822123
7.05,0.285927,-0.650542,-0.467542,-0.021361,3.0,-0.473976,2.965988,2.855666
7.1,0.254664,-0.595214,-0.468452,-0.019132,3.0,-0.442203,2.984703,2.886929
7.15,0.226623,-0.521954,-0.469247,-0.016846,3.0,-0.411181,2.998326,2.914969
7.2,0.202653,-0.432904,-0.469935,-0.014565,3.0,-0.383364,3.007628,2.93894
7.25,0.183482,-0.330691,-0.470525,-0.012386,3.0,-0.362114,3.013524,2.958111
7.3,0.169704,-0.218021,-0.471054,-0.011242,3.0,-0.347122,3.016898,2.971888
7.35,0.161753,-0.098643,-0.471555,-0.010212,3.0,-0.341055,3.018549,2.979839
7.4,0.159878,0.023894,-0.47204,-0.009391,3.0,-0.344517,3.018958,2.981715
7.45,0.164144,0.145926,-0.472521,-0.008814,3.0,-0.357408,3.018253,2.977449
7.5,0.174434,0.263798,-0.47301,-0.008498,3.0,-0.378886,3.016195,2.967159
7.55,0.19045,0.373978,-0.473515,-0.008446,3.0,-0.407445,3.012207,2.951142
7.6,0.211722,0.473169,-0.474044,-0.008649,3.0,-0.441065,3.005466,2.929871
7.65,0.23762,0.558407,-0.474602,-0.009086,3.0,-0.477413,2.99503,2.903973
7.7,0.26738,0.627164,-0.475191,-0.009724,3.0,-0.514084,2.979989,2.874213
7.75,0.300121,0.677429,-0.475814,-0.010527,3.0,-0.548836,2.959625,2.841471
7.8,0.334879,0.707777,-0.476471,-0.011452,3.0,-0.579803,2.933555,2.806714
7.85,0.370632,0.717415,-0.477161,-0.012459,3.0,-0.605658,2.901852,2.77096
7.9,0.406338,0.706192,-0.477884,-0.013506,3.0,-0.625716,2.865115,2.735255
7.95,0.440962,0.674596,-0.478641,-0.014554,3.0,-0.639944,2.824499,2.70063
8.0,0.473512,0.623715,-0.479431,-0.015567,3.0,-0.648907,2.781685,2.668081
8.05,0.503062,0.555178,-0.480255,-0.016511,3.0,-0.653634,2.738793,2.638531
8.1,0.528782,0.471085,-0.481112,-0.017358,3.0,-0.65641,2.698235,2.612811
8.15,0.549964,0.374221,-0.48202,-0.01883,3.0,-0.656839,2.662569,2.591628
8.2,0.566034,0.267087,-0.482996,-0.020172,3.0,-0.657034,2.634109,2.575559
8.25,0.576552,0.152659,-0.484034,-0.021254,3.0,-0.658043,2.614858,2.565041
8.3,0.581233,0.034071,-0.485122,-0.021978,3.0,-0.660628,2.606229,2.56036
8.35,0.579951,-0.085404,-0.486244,-0.022381,3.0,-0.665003,2.608877,2.561642
8.4,0.572744,-0.202444,-0.487385,-0.022576,3.0,-0.670684,2.622598,2.568849
8.45,0.559815,-0.313805,-0.488534,-0.0226,3.0,-0.676776,2.646361,2.581777
