time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.381251,0.789718,3.141593,3.141593
0.05,0.003976,0.15772,-0.004003,-0.157475,2.253792,0.876557,3.145525,3.137617
0.1,0.01403,0.241544,-0.011838,-0.150482,2.195037,0.821666,3.140506,3.127562
0.15,0.02806,0.316174,-0.019257,-0.140382,2.150004,0.766156,3.132751,3.113532
0.2,0.045598,0.381337,-0.026194,-0.130847,2.119186,0.714111,3.122244,3.095995
0.25,0.066134,0.435721,-0.032682,-0.122183,2.103282,0.666733,3.108745,3.075459
0.3,0.0891,0.478201,-0.038761,-0.114272,2.102278,0.6244,3.092078,3.052493
0.35,0.113881,0.508101,-0.044467,-0.107205,2.115717,0.587599,3.072243,3.027712
0.4,0.139837,0.525098,-0.049842,-0.101037,2.142826,0.556693,3.049419,3.001756
0.45,0.166321,0.529223,-0.054927,-0.095781,2.182457,0.531845,3.023989,2.975271
0.5,0.192697,0.520843,-0.059767,-0.091425,2.233136,0.51302,2.996531,2.948896
0.55,0.218353,0.500642,-0.064404,-0.087938,2.293129,0.499994,2.967803,2.92324
0.6,0.24272,0.46958,-0.068877,-0.085267,2.360518,0.492371,2.938704,2.898873
0.65,0.265284,0.428852,-0.073225,-0.083345,2.433278,0.489604,2.910219,2.876308
0.7,0.285595,0.379844,-0.077482,-0.082093,2.509354,0.491038,2.883357,2.855998
0.75,0.303276,0.324087,-0.08168,-0.081421,2.586726,0.495939,2.859087,2.838317
0.8,0.318029,0.263207,-0.085845,-0.081237,2.663476,0.503536,2.838267,2.823564
0.85,0.329639,0.198886,-0.089998,-0.081443,2.73782,0.513057,2.82159,2.811953
0.9,0.337978,0.132816,-0.094158,-0.081941,2.808155,0.523754,2.809533,2.803614
0.95,0.343,0.066666,-0.098337,-0.082637,2.873067,0.534927,2.802332,2.798593
1.0,0.34474,0.002044,-0.102544,-0.083438,2.931346,0.545944,2.799976,2.796853
1.05,0.343314,-0.059533,-0.106781,-0.084254,2.98199,0.556242,2.802215,2.798279
1.1,0.33891,-0.116669,-0.111049,-0.085003,3.0,0.555854,2.808594,2.802683
1.15,0.331756,-0.16915,-0.115337,-0.085428,3.0,0.550152,2.818581,2.809837
1.2,0.322105,-0.216168,-0.119634,-0.085619,3.0,0.546202,2.831587,2.819488
