time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.413645,0.800239,3.141593,3.141593
0.05,0.004032,0.159952,-0.004063,-0.159834,2.284985,0.888644,3.145701,3.13756
0.1,0.014228,0.244943,-0.012016,-0.152758,2.225606,0.83312,3.140682,3.127364
0.15,0.028455,0.320585,-0.019545,-0.142446,2.181966,0.777499,3.132902,3.113138
0.2,0.046239,0.386757,-0.026586,-0.132825,2.156429,0.726714,3.122362,3.095353
0.25,0.067078,0.442326,-0.03318,-0.124334,2.148073,0.681502,3.108834,3.074514
0.3,0.090411,0.486189,-0.039378,-0.11677,2.153056,0.640889,3.092131,3.051182
0.35,0.115628,0.517457,-0.045218,-0.109935,2.172899,0.605747,3.072191,3.025965
0.4,0.142089,0.535839,-0.050739,-0.104012,2.206741,0.576544,3.049187,2.999504
0.45,0.169148,0.54134,-0.055984,-0.09901,2.253348,0.55342,3.023478,2.972445
0.5,0.196165,0.534302,-0.060996,-0.094911,2.311144,0.536311,2.995622,2.945427
0.55,0.22253,0.515377,-0.065818,-0.091676,2.378298,0.524964,2.966358,2.919063
0.6,0.247667,0.485494,-0.070489,-0.089246,2.452797,0.518955,2.93657,2.893926
0.65,0.271057,0.445818,-0.075047,-0.08755,2.532522,0.517709,2.907237,2.870536
0.7,0.292242,0.397703,-0.079525,-0.086505,2.615322,0.52054,2.87937,2.84935
0.75,0.310838,0.342651,-0.083953,-0.086018,2.69909,0.526685,2.85395,2.830755
0.8,0.326535,0.282257,-0.088357,-0.085993,2.781825,0.535345,2.831858,2.815058
0.85,0.339108,0.218174,-0.092758,-0.086332,2.861677,0.54572,2.813818,2.802484
0.9,0.348415,0.15207,-0.09717,-0.086937,2.936986,0.557042,2.800351,2.793177
0.95,0.354395,0.085591,-0.101607,-0.087711,3.0,0.566131,2.79174,2.787197
1.0,0.357063,0.020056,-0.106072,-0.088513,3.0,0.55292,2.788027,2.784529
1.05,0.356445,-0.045394,-0.110558,-0.08889,3.0,0.541573,2.789128,2.785148
1.1,0.352596,-0.108722,-0.115055,-0.089358,3.0,0.532586,2.794914,2.788997
1.15,0.345666,-0.168179,-0.119567,-0.089842,3.0,0.525848,2.80497,2.795926
1.2,0.335892,-0.222116,-0.124092,-0.090257,3.0,0.521225,2.818659,2.805701
1.25,0.323587,-0.269025,-0.128627,-0.090515,3.0,0.518563,2.835184,2.818006
1.3,0.309138,-0.307577,-0.133161,-0.090536,3.0,0.517683,2.853653,2.832455
1.35,0.29299,-0.336665,-0.137683,-0.09025,3.0,0.518371,2.873148,2.848602
1.4,0.275641,-0.355438,-0.142175,-0.089596,3.0,0.520365,2.892793,2.865951
1.45,0.257622,-0.36333,-0.14662,-0.088524,3.0,0.523346,2.911808,2.883971
1.5,0.239485,-0.360087,-0.150996,-0.086996,3.0,0.526936,2.929549,2.902108
1.55,0.221787,-0.345775,-0.155283,-0.084989,3.0,0.530695,2.945532,2.919806
1.6,0.205074,-0.320787,-0.159458,-0.082495,3.0,0.534138,2.959439,2.936519
1.65,0.189864,-0.285833,-0.163498,-0.079519,3.0,0.536752,2.971104,2.951728
1.7,0.176632,-0.241925,-0.167382,-0.076084,2.987181,0.533003,2.98049,2.96496
1.75,0.165782,-0.190894,-0.171087,-0.072128,2.923378,0.50738,2.987702,2.97581
1.8,0.15758,-0.13639,-0.174584,-0.067431,2.861064,0.47977,2.992985,2.984012
1.85,0.152167,-0.07976,-0.17785,-0.062567,2.80178,0.451104,2.996427,2.989426
1.9,0.14961,-0.022552,-0.180879,-0.057635,2.747091,0.421938,2.998084,2.991982
1.95,0.149901,0.033728,-0.183672,-0.052726,2.69834,0.392838,2.997978,2.991691
2.0,0.152958,0.087648,-0.18623,-0.047924,2.656684,0.364399,2.996097,2.988635
2.05,0.158628,0.137893,-0.188561,-0.043312,2.623062,0.337224,2.992411,2.982965
2.1,0.166698,0.183295,-0.190674,-0.038967,2.598156,0.311893,2.986883,2.974894
2.15,0.1769,0.222855,-0.192584,-0.034958,2.582388,0.288939,2.979493,2.964693
2.2,0.18892,0.255769,-0.194307,-0.031341,2.575911,0.268821,2.970258,2.952673
2.25,0.202409,0.281433,-0.195863,-0.028162,2.578617,0.251902,2.95925,2.939184
2.3,0.216993,0.299458,-0.197273,-0.025452,2.590157,0.238437,2.946612,2.9246
2.35,0.232284,0.309669,-0.198558,-0.023229,2.60995,0.228554,2.932565,2.909308
2.4,0.247892,0.312099,-0.199743,-0.021496,2.637217,0.222257,2.917408,2.893701
2.45,0.263431,0.306978,-0.20085,-0.020244,2.671009,0.219428,2.901517,2.878162
2.5,0.278533,0.29472,-0.201903,-0.019453,2.710244,0.219838,2.885328,2.86306
2.55,0.292854,0.275904,-0.202922,-0.019091,2.753747,0.223161,2.869316,2.848739
2.6,0.306084,0.251247,-0.203928,-0.019118,2.800283,0.229001,2.853977,2.835509
2.65,0.31795,0.221581,-0.204939,-0.01949,2.848604,0.236906,2.839795,2.823642
2.7,0.328225,0.18783,-0.205971,-0.020154,2.897474,0.246399,2.827215,2.813367
2.75,0.336729,0.150975,-0.207037,-0.021056,2.945707,0.256994,2.816622,2.804864
2.8,0.343331,0.112038,-0.208147,-0.022142,2.99219,0.268218,2.808315,2.798261
2.85,0.347954,0.072047,-0.20931,-0.023354,3.0,0.265616,2.802493,2.793639
2.9,0.35053,0.030462,-0.210524,-0.024353,3.0,0.260896,2.799263,2.791063
2.95,0.351004,-0.011737,-0.211783,-0.025402,3.0,0.25741,2.798753,2.790589
3.0,0.349377,-0.053331,-0.213092,-0.026536,3.0,0.255222,2.800969,2.792216
3.05,0.345707,-0.09315,-0.214454,-0.027703,3.0,0.254301,2.805781,2.795885
3.1,0.340113,-0.130072,-0.215869,-0.028849,3.0,0.254604,2.812941,2.80148
3.15,0.332765,-0.163054,-0.217335,-0.029919,3.0,0.256074,2.822096,2.808828
3.2,0.323885,-0.191155,-0.218848,-0.030862,3.0,0.258633,2.832819,2.817708
3.25,0.313737,-0.213571,-0.220399,-0.03163,3.0,0.262175,2.844637,2.827856
3.3,0.302622,-0.229651,-0.22198,-0.032181,3.0,0.266558,2.857062,2.83897
3.35,0.290872,-0.238923,-0.223579,-0.032478,3.0,0.271601,2.869623,2.850721
3.4,0.278833,-0.241109,-0.225184,-0.03249,3.0,0.277083,2.88189,2.86276
3.45,0.266864,-0.236133,-0.22678,-0.032195,3.0,0.282741,2.893491,2.874729
3.5,0.25532,-0.224126,-0.228354,-0.031578,3.0,0.288284,2.904126,2.886273
3.55,0.244546,-0.205427,-0.22989,-0.030637,3.0,0.293399,2.913566,2.897047
3.6,0.234864,-0.18057,-0.231374,-0.029377,3.0,0.297769,2.921656,2.906728
3.65,0.226566,-0.150275,-0.23279,-0.027813,3.0,0.301089,2.928297,2.915026
3.7,0.219903,-0.115422,-0.234125,-0.025971,2.974617,0.293186,2.933442,2.92169
3.75,0.21505,-0.078131,-0.235362,-0.023682,2.932905,0.277175,2.937127,2.926543
3.8,0.212086,-0.040105,-0.236484,-0.02111,2.893931,0.26053,2.939385,2.929506
3.85,0.211026,-0.002274,-0.237481,-0.018496,2.858602,0.243805,2.940232,2.930566
3.9,0.211836,0.034399,-0.238354,-0.015902,2.827726,0.22739,2.939681,2.929757
3.95,0.214434,0.069015,-0.239104,-0.013385,2.801958,0.211668,2.937749,2.927159
4.0,0.218697,0.100763,-0.239737,-0.010996,2.781805,0.19701,2.934461,2.922895
4.05,0.224464,0.128935,-0.240258,-0.008781,2.767612,0.183758,2.929857,2.917128
4.1,0.23154,0.152943,-0.240677,-0.006782,2.759548,0.17221,2.923999,2.910053
4.15,0.239704,0.172332,-0.241004,-0.005033,2.757607,0.162606,2.916978,2.901889
4.2,0.248717,0.186779,-0.241252,-0.003559,2.761628,0.155122,2.908923,2.892876
4.25,0.258326,0.196104,-0.241435,-0.002376,2.771296,0.149857,2.899997,2.883267
4.3,0.268272,0.200265,-0.241565,-0.001494,2.786156,0.146837,2.890404,2.87332
4.35,0.2783,0.19935,-0.241658,-0.000911,2.805641,0.146013,2.88038,2.863293
4.4,0.288159,0.193576,-0.241727,-0.000621,2.829086,0.147269,2.87019,2.853434
4.45,0.297614,0.183271,-0.241786,-0.000608,2.855751,0.150427,2.860116,2.843979
4.5,0.306449,0.168866,-0.241849,-0.00085,2.884849,0.155259,2.850447,2.835143
4.55,0.314471,0.150875,-0.241927,-0.001324,2.915562,0.161501,2.841462,2.827121
4.6,0.321515,0.129882,-0.242031,-0.001996,2.947075,0.168864,2.833423,2.820077
4.65,0.327446,0.10652,-0.24217,-0.002834,2.978584,0.177045,2.826556,2.814146
4.7,0.332163,0.081459,-0.24235,-0.003804,3.0,0.182114,2.821042,2.80943
4.75,0.335586,0.054975,-0.242577,-0.004793,3.0,0.179569,2.817013,2.806006
4.8,0.337642,0.026933,-0.242848,-0.005697,3.0,0.177678,2.814582,2.803951
4.85,0.338274,-0.001785,-0.243162,-0.006694,3.0,0.176665,2.813853,2.803319
4.9,0.337469,-0.030363,-0.243526,-0.007757,3.0,0.176526,2.814853,2.804124
4.95,0.335254,-0.057988,-0.24394,-0.00885,3.0,0.177238,2.817531,2.806339
5.0,0.331697,-0.083876,-0.244405,-0.009933,3.0,0.178771,2.821769,2.809896
5.05,0.326903,-0.107287,-0.24492,-0.010971,3.0,0.181077,2.827383,2.814689
5.1,0.321014,-0.127554,-0.245483,-0.011927,3.0,0.184096,2.834138,2.820579
5.15,0.314201,-0.144092,-0.246088,-0.012768,3.0,0.187748,2.841765,2.827392
5.2,0.306664,-0.156426,-0.246729,-0.013463,3.0,0.191932,2.849973,2.834929
5.25,0.298622,-0.164195,-0.2474,-0.013986,3.0,0.196521,2.858469,2.842971
5.3,0.29031,-0.16717,-0.24809,-0.014315,3.0,0.201368,2.866969,2.851282
5.35,0.281972,-0.165258,-0.248791,-0.014432,3.0,0.206303,2.875213,2.859621
5.4,0.27385,-0.158509,-0.249492,-0.014328,3.0,0.21114,2.882971,2.867742
5.45,0.266184,-0.147112,-0.250183,-0.013996,3.0,0.215683,2.890053,2.875409
5.5,0.259197,-0.131393,-0.250853,-0.013439,3.0,0.219733,2.896303,2.882395
5.55,0.253097,-0.111804,-0.251492,-0.012667,3.0,0.223102,2.901606,2.888496
5.6,0.248062,-0.088913,-0.252091,-0.011694,3.0,0.225619,2.905875,2.893531
5.65,0.244242,-0.063384,-0.25264,-0.010542,2.978895,0.218922,2.909054,2.897351
5.7,0.241728,-0.036878,-0.253127,-0.009069,2.950835,0.208254,2.911139,2.899865
5.75,0.240543,-0.01039,-0.25354,-0.00746,2.925209,0.197425,2.912136,2.90105
5.8,0.240671,0.015442,-0.253877,-0.005846,2.902576,0.186787,2.912056,2.900922
5.85,0.242063,0.039985,-0.254138,-0.004271,2.883417,0.176604,2.910923,2.89953
5.9,0.24464,0.062662,-0.254325,-0.002769,2.868093,0.167121,2.908772,2.896953
5.95,0.248295,0.082964,-0.254443,-0.001373,2.856868,0.158563,2.90565,2.893298
6.0,0.252898,0.100464,-0.254496,-0.000113,2.849883,0.151131,2.901623,2.888695
6.05,0.2583,0.11482,-0.254492,0.000988,2.847166,0.144983,2.896779,2.883292
6.1,0.264338,0.125789,-0.254439,0.001911,2.84863,0.140239,2.891221,2.877255
6.15,0.270837,0.133218,-0.254345,0.002641,2.854081,0.13697,2.88508,2.870756
6.2,0.277618,0.137054,-0.254219,0.003171,2.863232,0.135202,2.878502,2.863975
6.25,0.284502,0.137335,-0.254072,0.003499,2.87571,0.13491,2.871653,2.85709
6.3,0.291314,0.134189,-0.253913,0.003629,2.891074,0.136028,2.864713,2.850278
6.35,0.297888,0.127823,-0.253751,0.003568,2.908823,0.138449,2.857866,2.843705
6.4,0.304068,0.118521,-0.253594,0.00333,2.928422,0.142032,2.851301,2.837525
6.45,0.309716,0.106624,-0.253453,0.00293,2.949311,0.146612,2.845196,2.831877
6.5,0.314712,0.092529,-0.253332,0.002388,2.970918,0.152,2.839718,2.826881
6.55,0.318956,0.076669,-0.25324,0.001727,2.992679,0.158001,2.835011,2.822636
6.6,0.322372,0.059506,-0.253182,0.00097,3.0,0.158941,2.831192,2.81922
6.65,0.324891,0.040904,-0.253158,0.000257,3.0,0.157479,2.828351,2.816701
6.7,0.326448,0.021133,-0.253167,-0.000475,3.0,0.156569,2.826585,2.815145
6.75,0.326998,0.00079,-0.253213,-0.001278,3.0,0.156295,2.825962,2.814595
6.8,0.326528,-0.019544,-0.253298,-0.00213,3.0,0.156655,2.826506,2.815065
6.85,0.325052,-0.039288,-0.253424,-0.003004,3.0,0.157631,2.828193,2.816541
6.9,0.322615,-0.057878,-0.253591,-0.003874,3.0,0.159196,2.830955,2.818978
6.95,0.319288,-0.074782,-0.253799,-0.004713,3.0,0.161311,2.834684,2.822305
7.0,0.315167,-0.089516,-0.254045,-0.005495,3.0,0.163926,2.839237,2.826426
7.05,0.310371,-0.101655,-0.254327,-0.006196,3.0,0.166975,2.844445,2.831221
7.1,0.305041,-0.110848,-0.25464,-0.006793,3.0,0.170379,2.850123,2.836552
7.15,0.29933,-0.11683,-0.254978,-0.007268,3.0,0.174045,2.856077,2.842263
7.2,0.293404,-0.119425,-0.255336,-0.007604,3.0,0.177866,2.862114,2.848189
7.25,0.287434,-0.118554,-0.255707,-0.007789,3.0,0.181723,2.868052,2.854159
7.3,0.281594,-0.114239,-0.256083,-0.007814,3.0,0.185488,2.873723,2.859999
7.35,0.276054,-0.106602,-0.256457,-0.007676,3.0,0.189031,2.878976,2.865539
7.4,0.270975,-0.095862,-0.256821,-0.007377,3.0,0.192219,2.883686,2.870618
7.45,0.266505,-0.082327,-0.257168,-0.006922,3.0,0.194931,2.887748,2.875088
7.5,0.262774,-0.066388,-0.25749,-0.006321,3.0,0.197053,2.89108,2.878818
7.55,0.259892,-0.048507,-0.257782,-0.00559,2.995999,0.196937,2.893619,2.881701
7.6,0.257939,-0.029377,-0.258036,-0.004716,2.97549,0.189613,2.895329,2.883654
7.65,0.256945,-0.010258,-0.258243,-0.003626,2.956727,0.182068,2.896205,2.884648
7.7,0.2569,0.008436,-0.258399,-0.002526,2.940083,0.174663,2.896256,2.884693
7.75,0.25777,0.026247,-0.258502,-0.001449,2.925911,0.167586,2.895504,2.883822
7.8,0.259502,0.042757,-0.258555,-0.00042,2.914477,0.161008,2.893981,2.88209
7.85,0.26202,0.057593,-0.258561,0.000538,2.905973,0.155085,2.891731,2.879572
7.9,0.265233,0.070443,-0.258523,0.001402,2.900511,0.149954,2.888813,2.87636
7.95,0.269034,0.081056,-0.258445,0.002156,2.898118,0.145724,2.885301,2.872558
8.0,0.273307,0.089244,-0.258334,0.002787,2.898743,0.142478,2.881279,2.868285
8.05,0.277927,0.094894,-0.258195,0.003282,2.902253,0.140266,2.876849,2.863665
8.1,0.282766,0.097957,-0.258035,0.003637,2.908454,0.139105,2.872122,2.858827
