step,time,q1,q1d,q2,q2d,wrap_dist
0,0.000,0.000000,0.000000,0.000000,0.000000,3.141593
1,0.050,0.002977,0.118335,-0.001648,-0.064586,3.141510
2,0.100,0.011191,0.208323,-0.004932,-0.063851,3.137980
3,0.150,0.023818,0.294198,-0.008167,-0.061952,3.132248
4,0.200,0.040607,0.374104,-0.011325,-0.060095,3.124069
5,0.250,0.061209,0.446135,-0.014411,-0.058457,3.113105
6,0.300,0.085166,0.507761,-0.017422,-0.056650,3.098883
7,0.350,0.111905,0.556992,-0.020351,-0.054761,3.081016
8,0.400,0.140762,0.592142,-0.023190,-0.052791,3.059239
9,0.450,0.170997,0.612001,-0.025933,-0.050794,3.033518
10,0.500,0.201827,0.615837,-0.028576,-0.048824,3.004111
11,0.550,0.232438,0.603394,-0.031118,-0.046918,2.971605
12,0.600,0.262019,0.574870,-0.033560,-0.045105,2.936934
13,0.650,0.289779,0.530890,-0.035903,-0.043394,2.901354
14,0.700,0.314968,0.472458,-0.038150,-0.041778,2.866396
15,0.750,0.336892,0.400905,-0.040304,-0.040237,2.833781
16,0.800,0.354935,0.317837,-0.042365,-0.038739,2.805312
17,0.850,0.368566,0.225083,-0.044333,-0.037238,2.782749
18,0.900,0.377348,0.124646,-0.046208,-0.035689,2.767669
19,0.950,0.380951,0.018668,-0.047983,-0.034043,2.761332
20,1.000,0.379152,-0.090606,-0.049653,-0.032258,2.764560
21,1.050,0.369821,-0.281325,-0.049873,0.022361,2.786548
22,1.100,0.351417,-0.451972,-0.048575,0.026565,2.827087
23,1.150,0.324599,-0.616614,-0.047087,0.028682,2.884217
24,1.200,0.289768,-0.771185,-0.045481,0.030056,2.954759
25,1.250,0.247456,-0.914648,-0.043727,0.033313,3.035726
26,1.300,0.198344,-1.041952,-0.041783,0.036387,3.122731
27,1.350,0.143357,-1.148547,-0.039667,0.038951,3.211178
28,1.400,0.083646,-1.230054,-0.037413,0.040888,3.296535
29,1.450,0.020570,-1.282429,-0.035062,0.041987,3.374670
30,1.500,-0.044321,-1.302267,-0.032674,0.041818,3.360328
31,1.550,-0.109338,-1.287398,-0.030322,0.040459,3.294620
32,1.600,-0.172713,-1.236932,-0.028061,0.038412,3.216599
33,1.650,-0.232658,-1.150810,-0.025933,0.035763,3.128613
34,1.700,-0.287400,-1.029828,-0.023976,0.032576,3.034567
35,1.750,-0.335230,-0.875543,-0.022224,0.028914,2.939996
36,1.800,-0.374536,-0.690326,-0.020703,0.024887,2.852052
37,1.850,-0.403853,-0.477665,-0.019432,0.020725,2.779242
38,1.900,-0.421933,-0.242626,-0.018411,0.016832,2.730575
39,1.950,-0.427826,0.007890,-0.017615,0.013756,2.713870
40,2.000,-0.420969,0.265445,-0.016991,0.012018,2.733622
41,2.050,-0.399191,0.602193,-0.017810,-0.040852,2.808094
42,2.100,-0.361178,0.912037,-0.020111,-0.043908,2.926577
43,2.150,-0.308036,1.204776,-0.022597,-0.045454,3.079465
44,2.200,-0.240943,1.467658,-0.025149,-0.043972,3.251208
45,2.250,-0.161612,1.692094,-0.027656,-0.041391,3.427235
46,2.300,-0.072067,1.874430,-0.030209,-0.044000,3.596988
47,2.350,0.025268,2.002350,-0.032779,-0.040869,3.704542
48,2.400,0.127595,2.073574,-0.035143,-0.035527,3.658741
49,2.450,0.232071,2.088389,-0.037248,-0.031038,3.581764
50,2.500,0.335892,2.048162,-0.039125,-0.027656,3.474079
51,2.550,0.436284,1.952594,-0.040801,-0.024814,3.336705
52,2.600,0.530560,1.805299,-0.042305,-0.022877,3.174729
53,2.650,0.616284,1.612488,-0.043683,-0.022039,2.996614
54,2.700,0.691351,1.381131,-0.044987,-0.022169,2.813134
55,2.750,0.754018,1.118533,-0.046268,-0.023076,2.637101
56,2.800,0.802908,0.831933,-0.047565,-0.024512,2.482826
57,2.850,0.836998,0.528263,-0.048903,-0.026167,2.365014
58,2.900,0.855603,0.214063,-0.050290,-0.027654,2.296707
59,2.950,0.858354,-0.104439,-0.051710,-0.028516,2.286389
60,3.000,0.844952,-0.430569,-0.053077,-0.026493,2.337406
61,3.050,0.812907,-0.848334,-0.052895,0.031895,2.479166
62,3.100,0.760314,-1.250075,-0.050983,0.040453,2.690244
63,3.150,0.687638,-1.649030,-0.048534,0.051031,2.957390
64,3.200,0.595332,-2.032066,-0.045464,0.062089,3.258628
65,3.250,0.484669,-2.379723,-0.041820,0.070027,3.567769
66,3.300,0.357910,-2.672180,-0.037808,0.072416,3.859548
67,3.350,0.218192,-2.894658,-0.033691,0.070079,4.114774
68,3.400,0.069275,-3.037512,-0.029682,0.064851,4.320961
69,3.450,-0.084703,-3.095760,-0.025919,0.058264,4.351134
70,3.500,-0.239473,-3.069146,-0.022480,0.051575,4.224348
71,3.550,-0.390862,-2.961865,-0.019384,0.045741,4.042478
72,3.600,-0.535002,-2.781621,-0.016613,0.041089,3.812308
73,3.650,-0.668477,-2.538476,-0.014129,0.037608,3.544259
74,3.700,-0.788408,-2.243320,-0.011890,0.035031,3.251358
75,3.750,-0.892445,-1.906175,-0.009863,0.032848,2.948448
76,3.800,-0.978680,-1.534342,-0.008041,0.030249,2.652052
77,3.850,-1.045455,-1.130564,-0.006464,0.026080,2.381741
78,3.900,-1.091137,-0.692910,-0.005225,0.019299,2.164461
79,3.950,-1.114006,-0.220072,-0.004436,0.010311,2.039525
80,4.000,-1.112493,0.280504,-0.004130,0.001982,2.048401
81,4.050,-1.085591,0.793530,-0.004187,-0.002128,2.203827
82,4.100,-1.030835,1.392019,-0.005731,-0.054398,2.529033
83,4.150,-0.946851,1.959133,-0.008687,-0.054452,2.942470
84,4.200,-0.835291,2.490847,-0.011547,-0.045771,3.394934
85,4.250,-0.698205,2.975210,-0.014112,-0.037321,3.850144
86,4.300,-0.538429,3.393204,-0.016370,-0.028018,4.276838
87,4.350,-0.359627,3.731248,-0.018414,-0.023811,4.654294
88,4.400,-0.166358,3.968007,-0.020256,-0.016401,4.959615
89,4.450,0.036057,4.095020,-0.021760,-0.009029,5.139465
90,4.500,0.242009,4.109783,-0.022852,-0.001325,5.029754
91,4.550,0.446022,4.020068,-0.023560,0.002764,4.840208
92,4.600,0.643158,3.838930,-0.024021,0.003503,4.580409
93,4.650,0.828830,3.566913,-0.024285,0.004666,4.251159
94,4.700,0.998987,3.224019,-0.024387,0.004030,3.871132
95,4.750,1.150579,2.829409,-0.024423,0.002162,3.459811
96,4.800,1.281469,2.400213,-0.024472,-0.000483,3.036722
97,4.850,1.390303,1.950195,-0.024598,-0.003664,2.621239
98,4.900,1.476313,1.489286,-0.024854,-0.007283,2.234234
99,4.950,1.539138,1.023797,-0.025286,-0.011294,1.901785
100,5.000,1.578650,0.557040,-0.025929,-0.015585,1.659518
101,5.050,1.594823,0.090154,-0.026800,-0.019831,1.549753
102,5.100,1.587653,-0.377080,-0.027882,-0.023163,1.599447
103,5.150,1.557102,-0.845409,-0.029086,-0.023829,1.796313
104,5.200,1.502404,-1.342992,-0.030094,-0.014646,2.119360
105,5.250,1.419568,-1.970231,-0.029062,0.057844,2.617512
106,5.300,1.305412,-2.593487,-0.025740,0.074766,3.178677
107,5.350,1.160310,-3.203885,-0.021661,0.083473,3.767996
108,5.400,0.985534,-3.774114,-0.017215,0.082301,4.347366
109,5.450,0.783701,-4.278286,-0.012794,0.073459,4.885585
110,5.500,0.558754,-4.690284,-0.008698,0.059945,5.354763
111,5.550,0.315930,-4.985875,-0.005115,0.044891,5.731087
112,5.600,0.061570,-5.146861,-0.002132,0.031034,5.998140
113,5.650,-0.197304,-5.165302,0.000253,0.020173,5.945552
114,5.700,-0.453589,-5.046147,0.002109,0.013239,5.717442
115,5.750,-0.700755,-4.806628,0.003549,0.010255,5.390870
116,5.800,-0.933381,-4.472597,0.004705,0.010261,4.988031
117,5.850,-1.147473,-4.073657,0.005687,0.012012,4.535567
118,5.900,-1.340509,-3.638042,0.006575,0.014316,4.059495
119,5.950,-1.510948,-3.175874,0.007333,0.013081,3.570070
120,6.000,-1.658007,-2.707270,0.007911,0.011610,3.087157
121,6.050,-1.781724,-2.244851,0.008347,0.009979,2.624647
122,6.100,-1.882623,-1.795751,0.008676,0.008506,2.193143
123,6.150,-1.961466,-1.362747,0.008953,0.007863,1.802753
124,6.200,-2.019091,-0.946335,0.009320,0.011343,1.468256
125,6.250,-2.056244,-0.542718,0.009953,0.017251,1.213640
126,6.300,-2.073397,-0.144895,0.010828,0.019486,1.078208
127,6.350,-2.070681,0.253682,0.011691,0.015013,1.100712
128,6.400,-2.047942,0.657703,0.012262,0.005917,1.276256
129,6.450,-2.004805,1.071095,0.012385,-0.004695,1.561956
130,6.500,-1.940513,1.505061,0.012021,-0.014945,1.925661
